WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Walnut Creek,06/27/2013 11:36:00 AM,ISMP Walnut Creek Park 419,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,9172--Canopy,9172,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054150,,,433760,false,
Walnut Creek,06/27/2013 11:36:00 AM,ISMP Walnut Creek Park 419,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,9172--Canopy,9172,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054151,,,433760,false,
Walnut Creek,06/27/2013 11:36:00 AM,ISMP Walnut Creek Park 419,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,100,(%) Percent,Total,9172--Canopy,9172,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054152,,,433760,false,
Walnut Creek,06/27/2013 11:36:00 AM,ISMP Walnut Creek Park 419,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,0,Count,Total,9172--Canopy,9172,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054153,,,433760,false,
Walnut Creek,06/27/2013 09:24:00 AM,ISMP Walnut Creek Park 646,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,9399--Groundcover,9399,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054154,,,433753,false,
Walnut Creek,06/27/2013 09:24:00 AM,ISMP Walnut Creek Park 646,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,9399--Groundcover,9399,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054155,,,433753,false,
Walnut Creek,06/27/2013 09:24:00 AM,ISMP Walnut Creek Park 646,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,9399--Groundcover,9399,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054156,,,433753,false,
Walnut Creek,06/27/2013 09:24:00 AM,ISMP Walnut Creek Park 646,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,20,(%) Percent,Total,9399--Groundcover,9399,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054157,,,433753,false,
Walnut Creek,06/27/2013 09:24:00 AM,ISMP Walnut Creek Park 646,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,12,Count,Total,9399--Groundcover,9399,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054158,,,433753,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054159,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054160,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054161,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054162,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054163,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054164,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054165,,,433733,false,
Walnut Creek,06/27/2013 09:40:00 AM,ISMP Walnut Creek Park 689,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,9442--Canopy,9442,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054166,,,433733,false,
Walnut Creek,06/27/2013 08:51:00 AM,ISMP Walnut Creek Park 147,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,8900--Groundcover,8900,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054167,,,433731,false,
Walnut Creek,06/27/2013 08:51:00 AM,ISMP Walnut Creek Park 147,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,8900--Groundcover,8900,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054168,,,433731,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054169,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054170,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054171,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054172,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054173,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054174,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054175,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054176,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054177,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054178,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054179,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054180,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054181,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,40,(%) Percent,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054182,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,2,Count,Total,9213--Understory,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054183,,,433754,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),3,None,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054184,,,433724,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Calculated Metrics,NUMBER OF TAXA,11,None,Total,LWT-S2,3537,TCEQ RWA PROTOCOL,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1200547,30.36889899,-97.7028113,258942,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054186,,,433724,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054187,,,433724,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054188,,,433724,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054189,,,433724,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054190,,,433724,false,
Walnut Creek,06/27/2013 10:53:00 AM,ISMP Walnut Creek Park 460,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,9213--Groundcover,9213,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054191,,,433724,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054192,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054193,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054194,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054195,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054196,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054197,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054198,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054199,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054200,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054201,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054202,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054203,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054204,,,433669,false,
Walnut Creek,06/30/2013 09:21:00 AM,ISMP Walnut Creek 97,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,10,(%) Percent,Total,8751--Groundcover,8751,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054205,,,433669,false,
Walnut Creek,06/29/2013 09:55:00 AM,ISMP Walnut Creek Park 288,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,9041--Canopy,9041,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054206,,,433674,false,
Walnut Creek,06/29/2013 09:55:00 AM,ISMP Walnut Creek Park 288,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,9041--Canopy,9041,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054207,,,433674,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054208,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054209,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054210,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054211,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054212,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054213,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054214,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054215,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054216,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054217,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,50,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054218,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,3,Count,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054219,,,433881,false,
Walnut Creek,06/29/2013 10:48:00 AM,ISMP Walnut Creek Park 638,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,9391--Canopy,9391,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054220,,,433880,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054221,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,8936--Canopy,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054222,,,433881,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054223,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,20,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054224,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054225,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054226,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054227,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054228,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054229,,,433882,false,
Walnut Creek,06/30/2013 11:36:00 AM,ISMP Walnut Creek Park 183,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8936--Understory,8936,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054230,,,433882,false,
Walnut Creek,06/28/2013 11:40:00 AM,ISMP Walnut Creek Park 203,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8956--Groundcover,8956,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054231,,,433878,false,
Walnut Creek,06/28/2013 11:40:00 AM,ISMP Walnut Creek Park 203,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,8956--Groundcover,8956,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054232,,,433878,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054233,,,433883,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054234,,,433883,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054235,,,433883,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054236,,,433883,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054237,,,433883,false,
Walnut Creek,06/29/2013 11:10:00 AM,ISMP Walnut Creek Park 128,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8881--Understory,8881,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2054238,,,433883,false,
