ADDRESS,PERMIT,Permit Status,Inspection Date,Inspection Type,Inspection Result,Latitude/Longitude
365 N WILTON PL,16041 90000 24835,Permit Finaled,07/18/2016,Service/Power Release,Approved,"(34.07772, -118.31365)"
6605 N GLORIA AVE,16041 90000 21879,Issued,07/21/2016,Service/Power Release,Approved,"(34.19042, -118.47956)"
732 S SPRING ST,15020 10000 02786,Issued,07/22/2016,Deputy Grading,Insp Scheduled,"(34.04348, -118.25306)"
888 S FIGUEROA ST 2170,16044 90000 06066,Issued,07/19/2016,Final,Partial Approval,"(34.0465, -118.26225)"
1144 S ABBOT KINNEY BLVD,14016 30000 11093,Permit Finaled,07/20/2016,Smoke Detectors,Approved,"(33.99133, -118.46923)"
7811 N PASO ROBLES AVE,16041 90000 22089,Issued,07/22/2016,Final,Insp Scheduled,"(34.21245, -118.50285)"
15139 W HAMLIN ST,16014 20001 01556,Issued,07/19/2016,Drywall Nailing,Approved,"(34.18865, -118.46316)"
1630 W 247TH PL,16042 90000 14593,Permit Finaled,07/19/2016,Final,Permit Finaled,"(33.8001, -118.30646)"
15146 W BURTON ST,16041 90000 16567,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.22041, -118.46338)"
"14006 W RIVERSIDE DR 119,120",16043 20000 03035,Issued,07/20/2016,Rough,Partial Inspection,"(34.15713, -118.43792)"
2838 S ORANGE DR,16016 20000 16172,Issued,07/22/2016,ELECTRICAL-Rough,Insp Scheduled,"(34.02818, -118.35478)"
1870 S VETERAN AVE,16016 30000 01091,Issued,07/21/2016,Footing/Foundation/Slab,Approved,"(34.04744, -118.43865)"
5900 W WILSHIRE BLVD 29TH FL,16042 10000 12835,Issued,07/19/2016,Rough,Partial Approval,"(34.06237, -118.35809)"
7249 N MAPLE ROAD,14010 20000 00660,Issued,07/19/2016,BUILDING-Rough-Frame,Approved,"(34.20271, -118.44078)"
1145 W WILSHIRE BLVD,16041 20000 12673,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.05306, -118.26461)"
4357 W WILSHIRE BLVD,14016 10000 13466,Issued,07/20/2016,Deputy Fireproofing,Conditional Approval,"(34.06198, -118.32315)"
742 N ORANGE DR,16041 90000 25547,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.08467, -118.34147)"
1630 E 48TH PL,16010 70000 02729,Issued,07/19/2016,Structural Steel Frame,Not Ready for Inspection,"(33.99922, -118.24484)"
10125 N DE SOTO AVE NO 29,16042 90000 12579,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.25448, -118.58876)"
6150 W 96TH ST,15020 10000 02801,Issued,07/19/2016,SUSMP-Std. Urban Storm Water,Approved,"(33.94871, -118.39284)"
12180 W MILLENNIUM,16016 10000 11163,Issued,07/18/2016,Light Gage Steel Frame,Partial Approval,"(33.97975, -118.40731)"
439 N MARTEL AVE,16010 20000 01898,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Insp Scheduled,"(34.07932, -118.35122)"
8356 W SUNSET VIEW DR,14016 30000 22045,Permit Finaled,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.09977, -118.372)"
700 WORLD WAY TERM 7,15041 10000 07080,Issued,07/19/2016,Underground,Partial Approval,"(33.94286, -118.39982)"
4845 N CARTWRIGHT AVE,15014 20000 04889,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.15891, -118.36384)"
4845 N CARTWRIGHT AVE,15014 20000 04889,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.15891, -118.36384)"
2049 S CENTURY PARK EAST STE 690,16016 10000 10456,Issued,07/21/2016,Green Building Rough,Partial Approval,"(34.05903, -118.41293)"
10250 W SANTA MONICA BLVD,14042 20001 19753,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05949, -118.42045)"
11044 W MAGNOLIA BLVD,16042 20000 08285,Issued,07/22/2016,Final,Insp Scheduled,"(34.16478, -118.37205)"
7444 N HASKELL AVE #8,16042 20000 13019,Issued,07/20/2016,Rough,Corrections Issued,"(34.20601, -118.47477)"
3338 S MCLAUGHLIN AVE,15047 10000 01361,CofO in Progress,07/19/2016,CofO Issuance,CofO in Progress,"(34.0179, -118.43309)"
4422 N LEDGE AVE,15014 20000 04920,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.15095, -118.35696)"
4422 N LEDGE AVE,15014 20000 04920,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.15095, -118.35696)"
11948 N BROMONT AVE,16014 20000 00020,Issued,07/19/2016,Footing/Foundation/Slab,Corrections Issued,"(34.28724, -118.41193)"
5815 N OSTROM AVE,16041 90000 24093,Issued,07/23/2016,Service/Power Release,Insp Scheduled,"(34.17685, -118.50685)"
1101 W 23RD ST,16042 10000 12688,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.03511, -118.28354)"
6200 W HOLLYWOOD BLVD #1-#507,15010 20000 00974,Issued,07/21/2016,Green Building Rough,Not Ready for Inspection,"(34.10147, -118.3246)"
8654 W HOLLYWOOD BLVD,16016 70000 11299,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09733, -118.37739)"
1101 S HARVARD BLVD 1-40,15043 20000 04307,Issued,07/21/2016,Overhead Hydro,Partial Approval,"(34.05072, -118.30443)"
611 N MARTEL AVE,15014 20000 00063,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(34.0822, -118.35123)"
611 N MARTEL AVE,15014 20000 00063,CofO Issued,07/22/2016,Inspection,Permit Finaled,"(34.0822, -118.35123)"
5304 N VANALDEN AVE,15010 20000 00825,Issued,07/22/2016,HVAC-Final,Insp Scheduled,"(34.16722, -118.54988)"
9251 N LEMONA AVE,15030 10000 03316,Issued,07/20/2016,Deputy Grading,Approved,"(34.23822, -118.45897)"
19050 W KESWICK ST,15014 20000 05459,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.21008, -118.54872)"
19050 W KESWICK ST,15014 20000 05459,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.21008, -118.54872)"
1404 N AVENUE 46,16044 90000 06394,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.12111, -118.21646)"
11608 W RIVERSIDE DR,15042 70000 25187,Issued,07/21/2016,Final,Corrections Issued,"(34.15747, -118.38597)"
963 E 4TH ST,15030 10000 08677,Issued,07/22/2016,Fill/Backfill,Insp Scheduled,"(34.04337, -118.23442)"
10418 N JOHANNA AVE,16016 20000 16073,Issued,07/21/2016,PLUMBING-Rough,Not Ready for Inspection,"(34.25964, -118.34618)"
1601 N VINE ST,14010 10000 01878,Issued,07/20/2016,Deputy Steel/Welding,Approved,"(34.09998, -118.32695)"
7749 W DAY ST,15014 20000 01102,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.25491, -118.30194)"
7749 W DAY ST,15014 20000 01102,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.25491, -118.30194)"
117 S BOYLE AVE,14041 10000 32210,Issued,07/19/2016,Rough,Partial Approval,"(34.04687, -118.22011)"
8466 W KIRKWOOD DR,16016 30000 07764,Issued,07/19/2016,Shower Pan,Approved,"(34.10332, -118.3757)"
326 S BUNDY DR,14010 30000 03803,Issued,07/19/2016,Footing/Foundation/Slab,Approved,"(34.05698, -118.47614)"
2171 N RIDGE DR,16042 20000 13363,Issued,07/20/2016,Rough,Cancelled,"(34.10739, -118.48541)"
11933 W ALLEGHENY ST,15010 10000 03635,Issued,07/19/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.23744, -118.39294)"
6150 W 96TH ST,15020 10000 01332,Issued,07/19/2016,SUSMP-Std. Urban Storm Water,Approved,"(33.94871, -118.39284)"
20558 W DEFOREST ST,16014 10000 01917,Issued,07/18/2016,Green Building Rough,Approved,"(34.1601, -118.58144)"
2117 W RIDGE DR,16016 20000 15561,Issued,07/22/2016,Smoke Detectors,Insp Scheduled,"(34.10744, -118.48385)"
2010 N BARNETT WAY,13010 10000 02516,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.06654, -118.17393)"
16235 W BARNESTON ST,16010 20000 01539,Issued,07/18/2016,Green Building Rough,Approved,"(34.28684, -118.48596)"
1501 N UMEO ROAD,15030 30000 02077,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05905, -118.50501)"
194 W 41ST PL,16041 20000 17516,Issued,07/21/2016,Rough,Corrections Issued,"(34.00808, -118.27617)"
631 S OLIVE ST #302,16041 10000 22865,Issued,07/22/2016,Life Safety,Insp Scheduled,"(34.04749, -118.25498)"
11585 W HESBY ST,14014 20000 04405,CofO Issued,07/21/2016,CofO Issuance,CofO Issued,"(34.16228, -118.38504)"
12655 W JEFFERSON BLVD 4th floor,16043 10000 02417,Issued,07/22/2016,Final,Insp Scheduled,"(33.97916, -118.41469)"
3901 W CLAYTON AVE,15030 10000 05360,Issued,07/18/2016,Sub-Drain,Not Ready for Inspection,"(34.09935, -118.27757)"
2476 S OVERLAND AVE,16041 30000 19930,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.0406, -118.42365)"
7834-7834 1/2 S FLIGHT AVE,15042 70000 25535,Permit Finaled,07/18/2016,Final,Permit Finaled,"(33.9674, -118.3837)"
944 N BENTON WAY A,15010 10000 01097,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Partial Inspection,"(34.08008, -118.27067)"
9366 W FLICKER WAY,15030 20000 04114,Issued,07/18/2016,Sub-Drain,Partial Approval,"(34.09571, -118.39353)"
4422 N LEDGE AVE,15014 20000 04920,CofO Issued,07/21/2016,CofO Issuance,CofO Issued,"(34.15095, -118.35696)"
11574 W SANTA MONICA BLVD,16041 10000 11247,Issued,07/21/2016,Final,Partial Approval,"(34.04473, -118.45335)"
1556 W 209TH ST,16041 90000 25274,Issued,07/22/2016,Final,Corrections Issued,"(33.83988, -118.30568)"
1654 N CICERO DR,15014 20000 03929,Issued,07/20/2016,ELECTRICAL-Rough,Approved,"(34.09053, -118.27177)"
20353 W PARTHENIA ST,16041 90000 20598,Issued,07/20/2016,Service/Power Release,Not Ready for Inspection,"(34.22836, -118.57734)"
12301 W DEERBROOK LANE,15014 30000 04265,Issued,07/18/2016,HVAC-Rough,Partial Inspection,"(34.07538, -118.48398)"
1100 S HILL ST,14010 10000 01189,Issued,07/21/2016,Deputy Reinf. Masonry,Conditional Approval,"(34.03989, -118.25984)"
963 E 4TH ST,15014 10000 05259,Issued,07/19/2016,Reinforced Concrete Frame,Not Ready for Inspection,"(34.04337, -118.23442)"
1833 S LA CIENEGA BLVD,15016 10000 24589,Issued,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.04342, -118.37677)"
1926 N NORMANDIE AVE,16014 10000 01414,Issued,07/20/2016,Wood Frame,Approved,"(34.10614, -118.30038)"
3820 N BUENA PARK DR,15014 10000 04054,Issued,07/20/2016,ELECTRICAL-Rough,Approved,"(34.13926, -118.38931)"
4500 W ADAMS BLVD,10042 70000 09962,Issued,07/20/2016,Rough,Insp Cancelled,"(34.03236, -118.33867)"
5258 N DENNY AVE 1-7,16042 10000 13996,Issued,07/19/2016,Underground,Cancelled,"(34.16653, -118.36413)"
13135 W CREWE ST,15014 20000 05641,Issued,07/19/2016,PLUMBING-Rough,Not Ready for Inspection,"(34.19682, -118.41933)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/20/2016,Light Gage Steel Frame,Partial Approval,"(34.04999, -118.2596)"
5922 S 4TH AVE,05014 70000 00837,Issued,07/18/2016,Final,Conditional Approval,"(33.98662, -118.32144)"
12360 W OSBORNE PL 20,13010 20000 04181,Issued,07/21/2016,Verify Sprinkler Sign Off,Approved,"(34.25922, -118.40237)"
2342 S VIRGINIA ROAD,15010 70000 02206,Issued,07/20/2016,Final,Conditional Approval,"(34.03446, -118.33773)"
742 N ORANGE DR,16041 90000 21458,Issued,07/20/2016,Final,Conditional Approval,"(34.08467, -118.34147)"
3225 S WOODBINE ST,15030 10000 02891,Permit Finaled,07/20/2016,Bottom/Toe,Approved,"(34.03392, -118.40397)"
100 WORLD WAY,14016 10013 11587,Issued,07/19/2016,Drywall Nailing,Partial Approval,"(33.94572, -118.40095)"
1951 S HOLT AVE,16014 20000 00801,Issued,07/18/2016,Green Building Final,Approved,"(34.04199, -118.38123)"
950 E 3RD ST,14030 10000 04873,Issued,07/21/2016,Drainage Devices/Catch Basin,Partial Approval,"(34.04578, -118.23334)"
135 N WESTGATE AVE,16047 20001 00461,Issued,07/18/2016,Rough-Plumbing,Partial Approval,"(34.064, -118.47331)"
8500 W BEVERLY BLVD 778,16041 90000 22021,Issued,07/22/2016,Life Safety,Not Ready for Inspection,"(34.07587, -118.37754)"
21040 W VICTORY BLVD,15016 20000 23417,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.18814, -118.59248)"
21040 W VICTORY BLVD,15016 20000 23417,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.18814, -118.59248)"
6148 E TIPTON WAY,16016 10000 13228,Permit Finaled,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.13031, -118.18665)"
12200 W RIVERSIDE DR,16044 90000 06524,Issued,07/18/2016,HEATING-Final,No Access for Inspection,"(34.15745, -118.39859)"
8312 W 3RD ST,16041 20000 12306,Permit Closed,07/18/2016,Final,Permit Closed,"(34.07258, -118.37052)"
22720 W VANOWEN ST,15030 10000 07881,Issued,07/22/2016,Deputy Grading,Insp Scheduled,"(34.19355, -118.62224)"
13217 W MACLAY ST,14042 10000 24741,Issued,07/20/2016,Final,Corrections Issued,"(34.29831, -118.42123)"
10470 N PLAINVIEW AVE,16014 10001 02928,Issued,07/19/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(34.25931, -118.29779)"
700 WORLD WAY,13043 90000 03928,Permit Closed,07/19/2016,Inspection,Permit Closed,"(33.94286, -118.39982)"
11726 W SAN VICENTE BLVD 150,16016 30000 10855,Issued,07/20/2016,Light Gage Steel Frame,Partial Approval,"(34.05328, -118.46625)"
14920 W ASTORIA ST,15010 10000 01431,Issued,07/21/2016,Deputy Reinf. Masonry,Approved,"(34.29576, -118.45588)"
610 W CHILDS WAY,14042 10000 20548,Issued,07/22/2016,Final,Insp Scheduled,"(34.01886, -118.28247)"
10250 W SANTA MONICA BLVD,13010 10000 02346,Issued,07/21/2016,Deputy Steel/Welding,Partial Approval,"(34.05949, -118.42045)"
10250 W SANTA MONICA BLVD,13010 10000 02346,Issued,07/21/2016,Deputy Steel/Welding,Partial Approval,"(34.05949, -118.42045)"
10250 W SANTA MONICA BLVD,13010 10000 02346,Issued,07/21/2016,Deputy Steel/Welding,Partial Approval,"(34.05949, -118.42045)"
11902 W LAUREL HILLS ROAD,15047 40000 01915,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.13551, -118.39058)"
11902 W LAUREL HILLS ROAD,15047 40000 01915,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.13551, -118.39058)"
405-407 E PARK FRONT WALK,15014 10000 03423,Issued,07/21/2016,Final,Insp Cancelled,"(33.99844, -118.2693)"
437 W 12TH ST,16041 40000 25109,Issued,07/20/2016,Final,Partial Inspection,"(33.73319, -118.28659)"
16735 W MARQUEZ TER,15014 10000 00619,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Not Ready for Inspection,"(34.04759, -118.54591)"
3353 W SAN FERNANDO ROAD,13016 10000 04350,Issued,07/22/2016,Light Gage Steel Frame,Insp Scheduled,"(34.11883, -118.2495)"
3708 S SAWTELLE BLVD,14014 10000 00869,Issued,07/19/2016,Grading Verification,Not Applicable,"(34.01331, -118.42102)"
1006 S WEYMOUTH AVE,15010 20000 01304,Issued,07/19/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(33.73511, -118.30955)"
2210 N BOWMONT DR,14010 10000 00105,CofO in Progress,07/18/2016,Final,OK to Issue CofO,"(34.11187, -118.39873)"
5258 N DENNY AVE 1-7,10042 10000 17786,Issued,07/19/2016,Underground,Cancelled,"(34.16653, -118.36413)"
4410 S BUDLONG AVE,16020 10000 00870,Issued,07/21/2016,Grading Pre-Inspection,Approved,"(34.00325, -118.29574)"
12360 W OSBORNE PL 21,13010 20000 04182,Issued,07/20/2016,ELECTRICAL-Rough,Insp Cancelled,"(34.25922, -118.40237)"
117 S BOYLE AVE,15043 10000 04150,Issued,07/22/2016,Rough,Insp Scheduled,"(34.04687, -118.22011)"
1200 S GRAND AVE,13042 10000 24182,Issued,07/22/2016,Rough,Insp Scheduled,"(34.03989, -118.26331)"
3452 S ROSEWOOD AVE,16016 30000 10066,Issued,07/22/2016,HVAC-Rough,Insp Scheduled,"(34.00639, -118.44853)"
3434 W 77TH ST,16044 90000 04153,Issued,07/22/2016,Final,Corrections Issued,"(33.96987, -118.33212)"
351 W 45TH ST,16041 90000 19682,Issued,07/19/2016,Service/Power Release,Not Ready for Inspection,"(34.00298, -118.28013)"
11478 W MOORPARK ST,14044 20000 01941,Issued,07/20/2016,Pre-Wrap Duct Insp,Corrections Issued,"(34.15018, -118.38165)"
8051 W JAYSEEL ST,16047 20000 00752,Issued,07/21/2016,Final,Conditional Approval,"(34.2655, -118.30864)"
235 S MAIN ST 217,16016 30000 08293,Issued,07/20/2016,Smoke Detectors,Cancelled,"(33.99683, -118.47874)"
1909 S COVINGTON LANE,15010 20000 04416,Issued,07/18/2016,BUILDING-Rough-Frame,Not Ready for Inspection,"(34.04112, -118.37175)"
877 S FRANCISCO ST,14010 10000 03145,Issued,07/19/2016,Deputy Pre-Stress Concrete,Approved,"(34.04799, -118.26363)"
246 S 3RD AVE,13030 20000 01280,Issued,07/22/2016,Final,Insp Scheduled,"(33.99756, -118.47649)"
1207 S VERMONT AVE,13016 10000 25006,Issued,07/21/2016,Drywall Nailing,Partial Inspection,"(34.04886, -118.29184)"
2467-2471 S BARRY AVE,14014 30000 05036,Issued,07/22/2016,Smoke Detectors,Insp Scheduled,"(34.03046, -118.44366)"
250 S ROSSMORE AVE,13024 10000 00030,Issued,07/22/2016,Elevator Verification,OK for CofO,"(34.06991, -118.32716)"
2269 W COVE AVE,15010 10000 03878,Issued,07/18/2016,Smoke Detectors,Approved,"(34.09424, -118.25832)"
427 E SUNRIDGE ST,14044 40000 05648,Issued,07/22/2016,Final,Insp Scheduled,"(33.9582, -118.44399)"
15146 W BURTON ST,16041 90000 12068,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.22041, -118.46338)"
9918 W LA TUNA CANYON ROAD,14041 90000 30671,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.23452, -118.34722)"
1550 N CASALE ROAD,13010 10000 02104,Issued,07/18/2016,Deputy Reinf. Concrete,Approved,"(34.06079, -118.50533)"
14920 W ASTORIA ST,15010 10000 01431,Issued,07/20/2016,Deputy Reinf. Concrete,Approved,"(34.29576, -118.45588)"
10663 W KINNARD AVE,14042 20000 08685,Issued,07/19/2016,Final,Insp Scheduled,"(34.05575, -118.43354)"
10101 W WILSHIRE BLVD,15016 10000 00920,Issued,07/19/2016,Green Building Rough,Not Ready for Inspection,"(34.06725, -118.41704)"
1833 S LA CIENEGA BLVD,15016 10000 24589,Issued,07/20/2016,Green Building Final,Approved,"(34.04342, -118.37677)"
1617 W FLORENCE AVE,16041 20000 18105,Issued,07/19/2016,Final,Corrections Issued,"(33.97473, -118.30526)"
1838 1/2 W 73RD ST,15042 10001 23986,Permit Finaled,07/18/2016,Final,Permit Finaled,"(33.97346, -118.31038)"
7210 W FOOTHILL BLVD,15016 20000 24451,CofO Issued,07/22/2016,CofO Issuance,CofO Issued,"(34.2485, -118.28897)"
4411 W DON ZAREMBO DR,15014 20001 05176,Issued,07/18/2016,Final,Cancelled,"(34.00533, -118.35252)"
16551 W BOSQUE DR,15030 30000 07318,Issued,07/21/2016,Bottom/Toe,Approved,"(34.14596, -118.49427)"
200 WORLD WAY,16041 90000 11534,Issued,07/20/2016,Rough,Partial Approval,"(33.94558, -118.4039)"
9866 N AMBOY AVE,16016 90000 15494,Issued,07/18/2016,Interior/Exterior Lathing,Approved,"(34.24961, -118.41933)"
2326 N GRIFFIN AVE,16044 90000 05963,Issued,07/23/2016,HEATING-Final,Insp Cancelled,"(34.07272, -118.21134)"
7222 N LEMP AVE,16041 90000 25037,Issued,07/21/2016,Final,Insp Scheduled,"(34.20185, -118.38435)"
1254 W 36TH ST,16016 20000 15536,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.02275, -118.29624)"
121 N FULLER AVE,14014 30001 02920,Permit Finaled,07/18/2016,Smoke Detectors,Approved,"(34.07431, -118.34994)"
1660 W ANAHEIM ST,16046 10000 00075,Permit Finaled,07/21/2016,Final,Permit Finaled,"(33.77836, -118.28825)"
900 W TEMPLE ST BLDG. B,12042 10000 22713,Issued,07/21/2016,Final,Partial Inspection,"(34.06074, -118.24968)"
800 WORLD WAY,16043 90000 02965,Permit Finaled,07/22/2016,Final,Permit Finaled,"(33.94305, -118.39757)"
3848-3864 S CRENSHAW BLVD,15014 20001 05530,Issued,07/21/2016,Wood Frame,Approved,"(34.01604, -118.33474)"
7159 W APPERSON ST,16016 20000 13890,Issued,07/22/2016,ELECTRICAL-Rough,Insp Scheduled,"(34.25602, -118.28781)"
17320 W VANOWEN ST LOT 17,15010 20000 02687,Issued,07/18/2016,HVAC-Rough,Approved,"(34.19365, -118.5109)"
2200 W TOM MIX ROAD,15010 10000 01260,Issued,07/22/2016,Green Building Rough,Approved,"(34.08838, -118.25971)"
1167 S HOOVER ST,14010 10000 03299,Issued,07/18/2016,Wood Frame,Partial Approval,"(34.04969, -118.28435)"
1001 S OLIVE ST,13044 10000 13767,Issued,07/18/2016,Rough-A/C and Heating,Partial Approval,"(34.04228, -118.25988)"
6515-6517 S 2ND AVE,15016 70001 05196,Issued,07/23/2016,Smoke Detectors,Insp Scheduled,"(33.9806, -118.3198)"
8018 N WILLIS AVE,15014 20000 03660,Issued,07/19/2016,Footing/Foundation/Slab,Partial Inspection,"(34.21653, -118.45516)"
879 W 190TH ST,15016 10000 26972,Issued,07/22/2016,Pre-Inspection,Insp Scheduled,"(33.85951, -118.28963)"
6193 1/2 E ROY ST,16016 10000 02949,Permit Finaled,07/21/2016,Smoke Detectors,Approved,"(34.12325, -118.18331)"
100 WORLD WAY,14016 10000 11587,Issued,07/21/2016,Deputy Reinf. Concrete,Insp Scheduled,"(33.94572, -118.40095)"
100 WORLD WAY,14016 10000 11587,Issued,07/21/2016,Deputy Reinf. Concrete,Insp Scheduled,"(33.94572, -118.40095)"
2240 N BEECH KNOLL RD,15014 30000 00975,Issued,07/22/2016,ELECTRICAL-Rough,Insp Scheduled,"(34.11171, -118.37532)"
3085 N FRANKLIN CANYON DR,09014 20005 04328,Issued,07/18/2016,PLUMBING-Final,Partial Approval,"(34.12877, -118.40759)"
742 E BROOKS AVE,16010 10000 01141,Issued,07/18/2016,Footing/Foundation/Slab,Partial Approval,"(33.99739, -118.46482)"
9048 W OLIN ST,16014 20000 00339,Issued,07/20/2016,Grading Verification,Not Applicable,"(34.03693, -118.39046)"
3644 S OVERLAND AVE,15010 10000 02247,Issued,07/18/2016,Deputy Grading,Approved,"(34.02231, -118.40953)"
4140 S GLENCOE AVE,13010 10000 00027,Issued,07/20/2016,Pre-Inspection,Insp Scheduled,"(33.98895, -118.44174)"
2701 S CASTLE HEIGHTS PL,15014 70000 02401,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.03879, -118.39698)"
2701 S CASTLE HEIGHTS PL,15014 70000 02401,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.03879, -118.39698)"
19850 W GREENBRIAR DR,15047 20000 01494,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.14247, -118.56477)"
6416 N LINDLEY AVE,16014 10000 01279,CofO in Progress,07/22/2016,Green Building Final,Approved,"(34.1873, -118.52713)"
1433 N DEVLIN DR,14043 20000 04385,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.09502, -118.38742)"
11948 N BROMONT AVE,16014 20000 00020,Issued,07/19/2016,SGSOV-Seismic Gas S/O Valve,No Access for Inspection,"(34.28724, -118.41193)"
8113 N LEMONA AVE,15014 10001 04677,Issued,07/19/2016,Excavation/Setback/Form/Re-Bar,Approved,"(34.21832, -118.46026)"
1027 W WEST 34TH ST,15042 10000 17891,Issued,07/18/2016,Rough,Not Ready for Inspection,"(34.02481, -118.28857)"
6113 S 8TH AVE 1-28,16016 10000 06495,Issued,07/22/2016,Wood Frame,Partial Approval,"(33.98399, -118.32666)"
3254 N HUTTON DR,14014 10000 04295,Issued,07/22/2016,ELECTRICAL-Final,Insp Cancelled,"(34.12764, -118.43177)"
1525 S GLENAVON AVE,16014 20000 00962,Issued,07/20/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.00562, -118.45512)"
5900 N FIGUEROA ST,16042 90000 11287,Issued,07/22/2016,Rough,Insp Scheduled,"(34.11043, -118.19071)"
647 W 32ND ST,16043 10000 00812,Issued,07/19/2016,Underground Hydro,Corrections Issued,"(34.02428, -118.28036)"
5311 S CRENSHAW BLVD #A-#B,14010 10000 00540,Issued,07/19/2016,TCO Grading Verification,Completed (special insp),"(33.99449, -118.33114)"
5736 N CRANER AVE,16014 20000 02183,Issued,07/18/2016,BUILDING-Rough-Frame,Approved,"(34.17502, -118.36907)"
1100 S HILL ST,14010 10000 01189,Issued,07/22/2016,Deputy Wood Construction,Conditional Approval,"(34.03989, -118.25984)"
8101-8103 S SAN PEDRO ST,16042 10000 06163,Permit Finaled,07/19/2016,Final,Insp Cancelled,"(33.96605, -118.26969)"
1737 N VIEWMONT DR,15010 30000 02158,Issued,07/19/2016,Deputy Reinf. Concrete,Approved,"(34.10238, -118.38018)"
11826 W REDBANK ST,16014 20000 00780,Issued,07/19/2016,Green Building Rough,Not Ready for Inspection,"(34.22865, -118.39001)"
10743 W CUMPSTON ST,16041 10000 12682,Issued,07/20/2016,Final,Insp Cancelled,"(34.1701, -118.36511)"
3409 S GURNARD AVE,15014 40000 04712,CofO in Progress,07/20/2016,CofO Issuance,CofO in Progress,"(33.72258, -118.32041)"
1832 N ALDER DR,14014 10002 03708,Issued,07/22/2016,Drywall Nailing,Insp Cancelled,"(34.10439, -118.22485)"
275 W CENTER WAY,15020 10000 00583,CofO in Progress,07/21/2016,Inspection,OK for CofO,"(33.94386, -118.4047)"
162 S LUCERNE BLVD,16016 10000 16555,Permit Finaled,07/20/2016,Smoke Detectors,Approved,"(34.07131, -118.32467)"
19550 W NORDHOFF ST,15041 10000 12192,Issued,07/19/2016,Inspection,Permit Closed-Status Void,"(34.23529, -118.55947)"
6566 1/2 N HAZELTINE AVE,15016 10000 16450,Issued,07/18/2016,Drywall Nailing,Not Ready for Inspection,"(34.19054, -118.43982)"
1739 S WOOSTER ST,16016 90000 15298,Issued,07/22/2016,Pre-Inspection,Insp Scheduled,"(34.04745, -118.38388)"
8450 N HASKELL AVE,16042 20000 14409,Issued,07/22/2016,Sewer or Sewer Cap,Insp Scheduled,"(34.22434, -118.47632)"
16650 W OLDHAM ST,16016 20000 16344,Issued,07/22/2016,PLUMBING-Rough,Approved,"(34.14201, -118.49549)"
6150 W 96TH ST,15010 10000 03070,Issued,07/18/2016,Green Building Final,Insp Cancelled,"(33.94871, -118.39284)"
6420 W HEDDING ST,15014 10000 03684,CofO in Progress,07/20/2016,CofO Issuance,CofO in Progress,"(33.97554, -118.4025)"
1043 N MANZANITA ST,13010 10000 01289,Issued,07/20/2016,Service/Power Release,Approved,"(34.0917, -118.28221)"
218 S MAIN ST,15042 10000 08159,Permit Finaled,07/19/2016,Inspection,Permit Finaled,"(33.99733, -118.47869)"
3501 S LA CIENEGA BLVD,16016 10000 01282,Issued,07/20/2016,Wood Frame,Approved,"(34.02395, -118.37251)"
