Incident #,Alarm Time,Call Type,Incident Type,Response Time (Median),Incident Duration,Stations,Units,Unit Count,GeoJSON,geo_point_2d
16-0600391,2016-06-20,Medical,Medical/resuscitator call no action required,2.37,4.13,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50240590837241, 44.2356747530813]}","44.2356747531,-76.5024059084"
16-0600458,2016-06-22,False Fire Call,Human - Accidental (alarm accidentally activated b,3.15,17.5,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49477621863522, 44.23375245795316]}","44.233752458,-76.4947762186"
16-0600459,2016-06-22,Fire,Pot on Stove (no fire),5.3,17.23,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48038734055942, 44.25861553322383]}","44.2586155332,-76.4803873406"
16-0600470,2016-06-23,Fire,Fire,8.02,50.8,"BROCK ST,DAYS RD,WOODBINE RD","C241,P201,P271,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.5651993304954, 44.252271925493716]}","44.2522719255,-76.5651993305"
16-0600477,2016-06-24,Medical,Alcohol or drug related,2.92,15.05,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48940105795886, 44.234723297787]}","44.2347232978,-76.489401058"
16-0600480,2016-06-24,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.86,13.65,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.53406408178425, 44.236419988627574]}","44.2364199886,-76.5340640818"
16-0600490,2016-06-24,Medical,Alcohol or drug related,3.63,1447.03,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48849912994768, 44.2549441930629]}","44.2549441931,-76.4884991299"
16-0600522,2016-06-26,Fire,Fire,4.58,11.83,RAILWAY ST,P251,1,,
16-0600526,2016-06-27,CO Alarm,CO false alarm - equipment malfunction (no CO pres,4.17,34.15,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.5037399255426, 44.23657203125071]}","44.2365720313,-76.5037399255"
16-0600531,2016-06-27,Other,Other Response,0.95,2.58,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.4933430954266, 44.24702734193086]}","44.2470273419,-76.4933430954"
16-0600532,2016-06-27,Other,Other Response,1.0,3.12,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.51399301413385, 44.231640447768655]}","44.2316404478,-76.5139930141"
16-0600533,2016-06-27,Other,Other Response,5.17,92.5,WOODBINE RD,P272,1,"{""type"": ""Point"", ""coordinates"": [-76.58518888983693, 44.257161983687794]}","44.2571619837,-76.5851888898"
16-0600539,2016-06-27,Medical,Defibrillator used,5.32,29.12,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55586048480241, 44.26867298110575]}","44.2686729811,-76.5558604848"
16-0600542,2016-06-27,Medical,Alcohol or drug related,4.63,24.38,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48882861415412, 44.263437884568056]}","44.2634378846,-76.4888286142"
16-0600563,2016-06-28,Medical,Medical/resuscitator call no action required,3.73,9.4,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.4818798923604, 44.231018590635095]}","44.2310185906,-76.4818798924"
16-0600566,2016-06-29,False Fire Call,Alarm System Equipment - Malfunction,3.32,9.83,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49392089825665, 44.226860987891556]}","44.2268609879,-76.4939208983"
16-0600582,2016-06-30,False Fire Call,Other False Fire Call,4.88,30.15,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50462002450466, 44.23777176094814]}","44.2377717609,-76.5046200245"
16-0700005,2016-07-01,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.58,34.05,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.4828557665333, 44.22957148834782]}","44.2295714883,-76.4828557665"
16-0700059,2016-07-03,Other,Assistance not required by other agency,3.4,7.47,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49701604047522, 44.23950438468782]}","44.2395043847,-76.4970160405"
16-0700064,2016-07-03,Medical,"Vital signs absent, DOA",4.02,6.6,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51850490041886, 44.23150094111301]}","44.2315009411,-76.5185049004"
16-0700072,2016-07-04,Fire,NO LOSS OUTDOOR fire (see exclusions),3.4,15.78,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51697412264959, 44.24258801550926]}","44.2425880155,-76.5169741226"
16-0700081,2016-07-04,Other,Incident not found,4.35,13.25,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.47082926534297, 44.263242265159455]}","44.2632422652,-76.4708292653"
16-0700084,2016-07-05,Motor Vehicle Accident,Vehicle Collision,11.69,58.4,"BROCK ST,RAILWAY ST,WOODBINE RD","P243,P251,P271,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.53712695891102, 44.26758767228442]}","44.2675876723,-76.5371269589"
16-0700090,2016-07-05,Fire,Other pre fire conditions (no fire),4.07,11.82,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.57161239612505, 44.271773194433806]}","44.2717731944,-76.5716123961"
17-0300047,2017-03-02,Medical,Alcohol or drug related,3.53,36.27,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48896577904848, 44.24711988163837]}","44.2471198816,-76.488965779"
17-0300062,2017-03-03,False Fire Call,"Human - Malicious intent, prank",3.35,16.8,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49125871434813, 44.22417261426931]}","44.2241726143,-76.4912587143"
17-0300077,2017-03-04,False Fire Call,Human - Accidental (alarm accidentally activated b,8.15,24.83,"BREWERS MILLS RD,JOYCEVILLE RD","P211,P221,T211,T221",4,,
17-0300086,2017-03-05,Other,Call cancelled on route,,3.92,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49467435686904, 44.26386127135402]}","44.2638612714,-76.4946743569"
17-0300096,2017-03-05,Other,Call cancelled on route,3.0,3.68,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.49095854615207, 44.25233246463797]}","44.2523324646,-76.4909585462"
17-0300116,2017-03-06,False Fire Call,Human - Accidental (alarm accidentally activated b,5.91,10.07,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53099857320176, 44.21713552053818]}","44.2171355205,-76.5309985732"
17-0300122,2017-03-06,Medical,"Accident or illness related - cuts, fractures, per",3.05,12.7,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.4855511725725, 44.244128890092156]}","44.2441288901,-76.4855511726"
17-0300130,2017-03-06,False Fire Call,"Human - Malicious intent, prank",4.93,23.9,"BROCK ST,PALACE RD","L241,P241,P262",3,"{""type"": ""Point"", ""coordinates"": [-76.49668749200278, 44.223496504531816]}","44.2234965045,-76.496687492"
17-0300153,2017-03-07,Motor Vehicle Accident,Vehicle Collision,2.38,13.15,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
17-0300154,2017-03-07,Medical,Other Medical/Resuscitator Call,2.78,15.07,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48608447193666, 44.23390445714051]}","44.2339044571,-76.4860844719"
17-0300170,2017-03-08,False Fire Call,Other False Fire Call,5.42,26.52,"BROCK ST,DAYS RD,PALACE RD,WOODBINE RD","L241,P201,P262,P271",4,"{""type"": ""Point"", ""coordinates"": [-76.51224553280572, 44.25030436167093]}","44.2503043617,-76.5122455328"
17-0300171,2017-03-08,Other,Other Response,1.0,42.05,WOODBINE RD,P272,1,"{""type"": ""Point"", ""coordinates"": [-76.58518888983693, 44.257161983687794]}","44.2571619837,-76.5851888898"
17-0300185,2017-03-09,Medical,Oxygen administered,3.7,39.53,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51555215906987, 44.22684783600116]}","44.226847836,-76.5155521591"
17-0300201,2017-03-09,False Fire Call,Human - Perceived Emergency,1.63,11.43,"BROCK ST,DAYS RD,WOODBINE RD","C241,P201,P271,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.59037773957081, 44.2520216421315]}","44.2520216421,-76.5903777396"
17-0300204,2017-03-10,False Fire Call,Human - Accidental (alarm accidentally activated b,4.4,11.83,"DAYS RD,PALACE RD","P201,P262",2,"{""type"": ""Point"", ""coordinates"": [-76.55412061798927, 44.239779767197774]}","44.2397797672,-76.554120618"
17-0300206,2017-03-10,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.6,11.78,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P262",3,"{""type"": ""Point"", ""coordinates"": [-76.5075610520104, 44.23853023606058]}","44.2385302361,-76.507561052"
17-0300215,2017-03-10,Medical,Alcohol or drug related,6.77,8.98,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.5651993304954, 44.252271925493716]}","44.2522719255,-76.5651993305"
17-0300222,2017-03-11,Medical,Other Medical/Resuscitator Call,2.25,11.83,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49717946352803, 44.241143509865296]}","44.2411435099,-76.4971794635"
17-0300224,2017-03-11,Motor Vehicle Accident,Vehicle Collision,3.4,16.27,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49467435686904, 44.26386127135402]}","44.2638612714,-76.4946743569"
17-0300237,2017-03-12,Fire,NO LOSS OUTDOOR fire (see exclusions),12.72,33.87,"38 HY,GORE RD,UNITY RD","A231,C231,P231,P281,T231,T281,T291,WL281",8,"{""type"": ""Point"", ""coordinates"": [-76.43284772850834, 44.32595702833929]}","44.3259570283,-76.4328477285"
17-0300249,2017-03-12,Medical,Seizure,8.48,20.57,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.49717946352803, 44.241143509865296]}","44.2411435099,-76.4971794635"
17-0300261,2017-03-13,Medical,CPR administered,10.52,36.25,38 HY,P291,1,,
17-0300277,2017-03-14,Motor Vehicle Accident,Vehicle Collision,4.78,23.35,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.5224335335911, 44.24616153424802]}","44.2461615342,-76.5224335336"
17-0300284,2017-03-14,Other,Other Response,0.0,0.57,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.57051697836336, 44.21897536317292]}","44.2189753632,-76.5705169784"
17-0300288,2017-03-14,Motor Vehicle Accident,Vehicle Collision,4.81,10.62,"BROCK ST,UNITY RD,WOODBINE RD","P241,P271,P282",3,"{""type"": ""Point"", ""coordinates"": [-76.51157605605414, 44.28620945798928]}","44.286209458,-76.5115760561"
17-0300291,2017-03-14,Motor Vehicle Accident,Vehicle Collision,4.17,34.68,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.50570279730498, 44.24527782748486]}","44.2452778275,-76.5057027973"
17-0300305,2017-03-15,Motor Vehicle Accident,Vehicle Collision,3.97,12.1,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.50729604978847, 44.23996324284814]}","44.2399632428,-76.5072960498"
17-0300312,2017-03-15,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.48,16.87,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49341646208595, 44.22367897651186]}","44.2236789765,-76.4934164621"
17-0300321,2017-03-16,Medical,Defibrillator used,4.48,27.42,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.55864001116481, 44.245512213601444]}","44.2455122136,-76.5586400112"
17-0300331,2017-03-16,False Fire Call,Alarm System Equipment - Malfunction,9.13,42.35,"BROCK ST,GORE RD","A231,L241,P231,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.44017428302331, 44.2346795319359]}","44.2346795319,-76.440174283"
17-0300338,2017-03-16,Other,Other Response,0.0,2.08,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.51399301413385, 44.231640447768655]}","44.2316404478,-76.5139930141"
17-0300346,2017-03-17,False Fire Call,Alarm System Equipment - Accidental activation (ex,5.15,11.12,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.56818779073342, 44.27428152085256]}","44.2742815209,-76.5681877907"
17-0300349,2017-03-17,Fire,Pot on Stove (no fire),9.02,35.4,GORE RD,"A231,P231",2,"{""type"": ""Point"", ""coordinates"": [-76.46616846334489, 44.25506724800711]}","44.255067248,-76.4661684633"
17-0300354,2017-03-17,Water Rescue,Water Ice Rescue,4.22,19.95,"BROCK ST,PALACE RD","L241,P241,P261,TE241",4,"{""type"": ""Point"", ""coordinates"": [-76.49283043478522, 44.222405702269654]}","44.2224057023,-76.4928304348"
17-0300363,2017-03-18,Medical,Alcohol or drug related,3.6,18.67,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49717946352803, 44.241143509865296]}","44.2411435099,-76.4971794635"
17-0300370,2017-03-18,Medical,Medical Aid Not Required on Arrival,4.57,6.63,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55864001116481, 44.245512213601444]}","44.2455122136,-76.5586400112"
17-0300371,2017-03-18,Medical,CPR administered,3.9,16.8,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50889349420783, 44.264219570851594]}","44.2642195709,-76.5088934942"
17-0300385,2017-03-19,Medical,Other Medical/Resuscitator Call,9.1,12.9,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.52408602818419, 44.240785614553424]}","44.2407856146,-76.5240860282"
17-0300393,2017-03-19,False Fire Call,Human - Perceived Emergency,3.88,33.17,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48973937889822, 44.228294889153574]}","44.2282948892,-76.4897393789"
17-0300394,2017-03-19,Fire,Pot on Stove (no fire),7.5,18.33,"BROCK ST,DAYS RD,WOODBINE RD","L241,P201,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.53653034881921, 44.2489141121923]}","44.2489141122,-76.5365303488"
17-0300399,2017-03-20,Other,Assistance not required by other agency,4.4,9.07,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52736820759655, 44.217376097469646]}","44.2173760975,-76.5273682076"
17-0300401,2017-03-20,Fire,Fire,6.18,39.4,"BROCK ST,PALACE RD,RAILWAY ST,WOODBINE RD","C241,L241,P241,P251,P261,P271",6,"{""type"": ""Point"", ""coordinates"": [-76.52115346661286, 44.25239731776913]}","44.2523973178,-76.5211534666"
17-0300414,2017-03-20,CO Alarm,CO false alarm - equipment malfunction (no CO pres,4.28,18.7,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.57292055570598, 44.22612017208331]}","44.2261201721,-76.5729205557"
17-0300422,2017-03-21,Fire,Other Cooking/toasting/smoke/steam (no fire),6.23,16.83,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48495321347335, 44.256240967745356]}","44.2562409677,-76.4849532135"
17-0300425,2017-03-21,False Fire Call,Alarm System Equipment - Malfunction,8.55,26.17,"BROCK ST,GORE RD,UNITY RD","C231,L241,P231,P241,P282",5,"{""type"": ""Point"", ""coordinates"": [-76.44017428302331, 44.2346795319359]}","44.2346795319,-76.440174283"
17-0300430,2017-03-22,False Fire Call,Other False Fire Call,6.19,11.95,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52412683892818, 44.25804092796955]}","44.258040928,-76.5241268389"
17-0300442,2017-03-22,Medical,Medical/resuscitator call no action required,0.0,2.88,UNITY RD,P281,1,"{""type"": ""Point"", ""coordinates"": [-76.46998784613207, 44.31122936190935]}","44.3112293619,-76.4699878461"
17-0300454,2017-03-22,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.13,20.97,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48320849422848, 44.23215465151665]}","44.2321546515,-76.4832084942"
17-0300460,2017-03-23,Motor Vehicle Accident,Vehicle Collision,6.49,46.55,"PALACE RD,WOODBINE RD","P261,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.5515080455708, 44.25212443295448]}","44.252124433,-76.5515080456"
17-0300461,2017-03-23,False Fire Call,"Human - Malicious intent, prank",5.47,22.48,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50030639410143, 44.22360219018496]}","44.2236021902,-76.5003063941"
17-0300463,2017-03-23,Fire,Fire,3.45,41.82,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48615599929843, 44.2307548880186]}","44.230754888,-76.4861559993"
17-0300484,2017-03-24,Medical,"Vital signs absent, DOA",3.83,11.93,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48757696330523, 44.2392706419799]}","44.239270642,-76.4875769633"
17-0300485,2017-03-24,Medical,"Vital signs absent, DOA",6.53,46.22,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.49573576977936, 44.25806484294391]}","44.2580648429,-76.4957357698"
17-0300487,2017-03-24,False Fire Call,Alarm System Equipment - Accidental activation (ex,7.75,28.72,"BROCK ST,GORE RD,RAILWAY ST,UNITY RD","L241,P231,P241,P251,P282",5,"{""type"": ""Point"", ""coordinates"": [-76.44017428302331, 44.2346795319359]}","44.2346795319,-76.440174283"
17-0300491,2017-03-24,False Fire Call,Human - Accidental (alarm accidentally activated b,3.17,13.55,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48691801639073, 44.22709620073853]}","44.2270962007,-76.4869180164"
17-0300501,2017-03-25,Water Rescue,Water Rescue,17.39,49.18,"BROCK ST,RAILWAY ST","L241,P241,P251,TE241",4,"{""type"": ""Point"", ""coordinates"": [-76.47953650965435, 44.2493214244975]}","44.2493214245,-76.4795365097"
17-0300506,2017-03-25,Medical,Medical Aid Not Required on Arrival,4.75,12.13,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48882861415412, 44.263437884568056]}","44.2634378846,-76.4888286142"
17-0300513,2017-03-26,Other,Other Public Service,6.5,24.48,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.51850490041886, 44.23150094111301]}","44.2315009411,-76.5185049004"
17-0300519,2017-03-27,False Fire Call,Alarm System Equipment - Malfunction,4.87,11.12,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.57536703337414, 44.26961297172016]}","44.2696129717,-76.5753670334"
17-0300532,2017-03-27,Medical,Medical Aid Not Required on Arrival,4.72,7.93,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.5854197852516, 44.239826200878305]}","44.2398262009,-76.5854197853"
17-0300536,2017-03-28,False Fire Call,Human - Perceived Emergency,5.33,25.27,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.49891184264071, 44.22318008436295]}","44.2231800844,-76.4989118426"
17-0300540,2017-03-28,False Fire Call,Human - Accidental (alarm accidentally activated b,5.53,9.93,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53408992854744, 44.2542029442182]}","44.2542029442,-76.5340899285"
17-0300550,2017-03-29,Other,Assistance not required by other agency,4.43,8.43,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52149626850543, 44.23568343091952]}","44.2356834309,-76.5214962685"
17-0300555,2017-03-29,False Fire Call,Human - Accidental (alarm accidentally activated b,7.52,13.73,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.48653630271579, 44.27107356705106]}","44.2710735671,-76.4865363027"
17-0300567,2017-03-29,Motor Vehicle Accident,Vehicle Collision,3.88,15.88,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49283043478522, 44.222405702269654]}","44.2224057023,-76.4928304348"
17-0300573,2017-03-29,CO Alarm,CO false alarm - equipment malfunction (no CO pres,5.2,17.43,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48644707652699, 44.25954637758682]}","44.2595463776,-76.4864470765"
17-0300628,2017-03-31,False Fire Call,Alarm System Equipment - Malfunction,4.86,16.35,"BROCK ST,DAYS RD,WOODBINE RD","A271,L241,P201,P271",4,,
17-0400001,2017-04-01,Other,Public Hazard call false alarm,6.47,21.25,"BROCK ST,DAYS RD,PALACE RD","C241,L241,P201,P241,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.51860807554826, 44.225235129286645]}","44.2252351293,-76.5186080755"
17-0400012,2017-04-01,Motor Vehicle Accident,Vehicle Collision,4.73,15.0,"PALACE RD,RAILWAY ST","P251,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
17-0400016,2017-04-01,Medical,Oxygen administered,4.42,66.45,"GORE RD,UNITY RD","P231,P281,WL281",3,"{""type"": ""Point"", ""coordinates"": [-76.46998784613207, 44.31122936190935]}","44.3112293619,-76.4699878461"
17-0400021,2017-04-01,False Fire Call,Human - Perceived Emergency,4.0,11.18,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48344224257912, 44.23753077134362]}","44.2375307713,-76.4834422426"
17-0400025,2017-04-02,False Fire Call,"Human - Malicious intent, prank",3.83,12.27,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.4976086702093, 44.22439704544648]}","44.2243970454,-76.4976086702"
17-0400031,2017-04-02,Motor Vehicle Accident,Vehicle Collision,6.38,18.23,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.62893283819237, 44.24028968086384]}","44.2402896809,-76.6289328382"
17-0400043,2017-04-03,Medical,CPR administered,6.57,18.48,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.45656924907865, 44.25416765677923]}","44.2541676568,-76.4565692491"
17-0400051,2017-04-03,False Fire Call,Human - Accidental (alarm accidentally activated b,4.68,28.88,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.48707375619382, 44.22910188072236]}","44.2291018807,-76.4870737562"
17-0400053,2017-04-03,Medical,Alcohol or drug related,3.05,9.53,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49709302509763, 44.240269547664106]}","44.2402695477,-76.4970930251"
17-0400076,2017-04-04,False Fire Call,Human - Accidental (alarm accidentally activated b,4.0,9.85,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.47920263232331, 44.230504170821824]}","44.2305041708,-76.4792026323"
17-0400081,2017-04-04,Motor Vehicle Accident,Vehicle Collision,4.43,43.5,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.607762419291, 44.24992385571558]}","44.2499238557,-76.6077624193"
17-0400083,2017-04-04,Other,Other Response,9.22,69.45,WOODBINE RD,P271,1,,
17-0400091,2017-04-05,Motor Vehicle Accident,Vehicle Collision,2.83,16.43,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48167755824772, 44.22902061209169]}","44.2290206121,-76.4816775582"
17-0400100,2017-04-05,Other,Public Hazard call false alarm,10.45,18.8,"BROCK ST,DAYS RD,WOODBINE RD","A271,C241,P201,P272",4,"{""type"": ""Point"", ""coordinates"": [-76.59758695266868, 44.26339669535723]}","44.2633966954,-76.5975869527"
17-0400103,2017-04-05,Fire,NO LOSS OUTDOOR fire (see exclusions),6.47,20.02,"DAYS RD,PALACE RD,RAILWAY ST","P201,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53099857320176, 44.21713552053818]}","44.2171355205,-76.5309985732"
17-0400104,2017-04-05,Fire,Fire,13.15,192.55,"38 HY,GORE RD,RAILWAY ST,UNITY RD","C231,C281,P231,P251,P281,P291,R231,T231,T281,T291",10,"{""type"": ""Point"", ""coordinates"": [-76.47996001734, 44.33212771980024]}","44.3321277198,-76.4799600173"
17-0400105,2017-04-05,Other,Assisting Other FD: Automatic Aid,21.27,257.28,WOODBINE RD,"P272,T271",2,"{""type"": ""Point"", ""coordinates"": [-76.49035864885394, 44.310514679111755]}","44.3105146791,-76.4903586489"
17-0400109,2017-04-06,CO Alarm,CO false alarm - perceived emergency (no CO presen,6.62,33.55,DAYS RD,P201,1,"{""type"": ""Point"", ""coordinates"": [-76.57726973776222, 44.22957863275969]}","44.2295786328,-76.5772697378"
17-0400138,2017-04-08,Medical,Alcohol or drug related,3.92,12.18,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49668749200278, 44.223496504531816]}","44.2234965045,-76.496687492"
17-0400144,2017-04-08,False Fire Call,Alarm System Equipment - Accidental activation (ex,6.08,19.8,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48006846016017, 44.270048762610976]}","44.2700487626,-76.4800684602"
17-0400145,2017-04-08,False Fire Call,Alarm System Equipment - Malfunction,7.41,22.13,"BROCK ST,GORE RD,UNITY RD","L241,P231,P241,P282",4,"{""type"": ""Point"", ""coordinates"": [-76.44017428302331, 44.2346795319359]}","44.2346795319,-76.440174283"
17-0400158,2017-04-08,Medical,Alcohol or drug related,4.03,18.12,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50462002450466, 44.23777176094814]}","44.2377717609,-76.5046200245"
17-0400161,2017-04-09,CO Alarm,CO false alarm - equipment malfunction (no CO pres,4.2,16.0,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50473617084124, 44.23437359934192]}","44.2343735993,-76.5047361708"
17-0400162,2017-04-09,Medical,Alcohol or drug related,4.6,14.83,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50030639410143, 44.22360219018496]}","44.2236021902,-76.5003063941"
17-0400164,2017-04-09,Other,Incident not found,10.32,17.3,"BROCK ST,PALACE RD,RAILWAY ST,UNITY RD,WOODBINE RD","B241,P251,P261,T271,T281",5,"{""type"": ""Point"", ""coordinates"": [-76.50553261998584, 44.268836394310775]}","44.2688363943,-76.50553262"
17-0400173,2017-04-09,Fire,Other pre fire conditions (no fire),5.75,15.72,"DAYS RD,WOODBINE RD","P201,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.60828044682914, 44.23662453358787]}","44.2366245336,-76.6082804468"
17-0400177,2017-04-09,False Fire Call,Alarm System Equipment - Malfunction,3.25,35.42,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49343496136487, 44.24156070264017]}","44.2415607026,-76.4934349614"
17-0400187,2017-04-10,Medical,CPR administered,4.77,30.18,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55049732070538, 44.25680949578515]}","44.2568094958,-76.5504973207"
