"YEAR";"MONTH_NUMBER";"MONTH";"REPORT_PERIOD";"NEIGHBOURHOOD";"NEIGHBOURHOOD_ID";"COMPLAINT";"INITIATED_BY";"STATUS";"COUNT";"LATITUDE";"LONGITUDE";"LOCATION"
"2019";"6";"JUNE";"JUNE-2019";"The Hamptons";"4461";"Weeds";"Citizen";"Resolved Complaint";"13";"53.48746";"-113.67547969431835";"(53.487464793746575, -113.67547969431835)"
"2015";"1";"JANUARY";"JANUARY-2015";"Eastgate Business Park";"6180";"Unlicensed Business";"Citizen";"Resolved Complaint";"7";"53.53405";"-113.40635093079894";"(53.53405252983872, -113.40635093079894)"
"2014";"2";"FEBRUARY";"FEBRUARY-2014";"Dovercourt";"3170";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"2";"53.57568";"-113.55759021866957";"(53.57567554087078, -113.55759021866957)"
"2018";"1";"JANUARY";"JANUARY-2018";"Walker";"6662";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.41767";"-113.43043554360622";"(53.41767254622824, -113.43043554360622)"
"2016";"1";"JANUARY";"JANUARY-2016";"Glenwood";"4180";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"15";"53.53645";"-113.60277044031012";"(53.53645466158683, -113.60277044031012)"
"2011";"5";"MAY";"MAY-2011";"Glenwood";"4180";"Unlicensed Business";"Citizen";"Resolved Complaint";"7";"53.53645";"-113.60277044031012";"(53.53645466158683, -113.60277044031012)"
"2015";"10";"OCTOBER";"OCTOBER-2015";"Albany";"3460";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.63238";"-113.54942007309295";"(53.63237907826179, -113.54942007309295)"
"2019";"3";"MARCH";"MARCH-2019";"Holyrood";"6310";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.53136";"-113.45017788123798";"(53.531364142804755, -113.45017788123798)"
"2011";"8";"AUGUST";"AUGUST-2011";"Satoo";"6680";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.44581";"-113.45737054779553";"(53.44580812696508, -113.45737054779553)"
"2016";"12";"DECEMBER";"DECEMBER-2016";"Calder";"3070";"Nuisance Property";"By-law Officer";"Resolved Complaint";"17";"53.58803";"-113.52887227758312";"(53.58803294035536, -113.52887227758312)"
"2019";"8";"AUGUST";"AUGUST-2019";"Caernarvon";"3060";"Unlicensed Business";"Citizen";"Resolved Complaint";"7";"53.61188";"-113.5264041462146";"(53.61188370428357, -113.5264041462146)"
"2015";"9";"SEPTEMBER";"SEPTEMBER-2015";"Beacon Heights";"2040";"Graffiti";"By-law Officer";"Resolved Complaint";"5";"53.57353";"-113.40604017904667";"(53.57353309911853, -113.40604017904667)"
"2011";"5";"MAY";"MAY-2011";"Ottewell";"6550";"Nuisance Property";"By-law Officer";"Resolved Complaint";"5";"53.53134";"-113.43074604760109";"(53.53134376415048, -113.43074604760109)"
"2016";"12";"DECEMBER";"DECEMBER-2016";"Satoo";"6680";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.44581";"-113.45737054779553";"(53.44580812696508, -113.45737054779553)"
"2011";"10";"OCTOBER";"OCTOBER-2011";"McLeod";"2530";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.61035";"-113.43665989346127";"(53.610349445666266, -113.43665989346127)"
"2020";"6";"JUNE";"JUNE-2020";"Rosslyn";"3390";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.59579";"-113.50428793128688";"(53.59579371675283, -113.50428793128688)"
"2013";"11";"NOVEMBER";"NOVEMBER-2013";"Aldergrove";"4020";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.51689";"-113.6412392123956";"(53.51688913776262, -113.6412392123956)"
"2020";"8";"AUGUST";"AUGUST-2020";"Montrose";"2550";"Nuisance Property";"By-law Officer";"Resolved Complaint";"4";"53.57512";"-113.44219934684766";"(53.57511738753874, -113.44219934684766)"
"2015";"2";"FEBRUARY";"FEBRUARY-2015";"Strathcona";"5480";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.52239";"-113.4909645397036";"(53.52239098753585, -113.4909645397036)"
"2014";"12";"DECEMBER";"DECEMBER-2014";"Empire Park";"5170";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.48439";"-113.50585827080845";"(53.48439346136973, -113.50585827080845)"
"2015";"8";"AUGUST";"AUGUST-2015";"Suder Greens";"4730";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.52458";"-113.67727644729212";"(53.52458442915894, -113.67727644729212)"
"2015";"4";"APRIL";"APRIL-2015";"Terrace Heights";"6730";"Unlicensed Business";"Citizen";"Resolved Complaint";"4";"53.54207";"-113.43780118364619";"(53.542073576989786, -113.43780118364619)"
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"Beverly Heights";"2100";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.56651";"-113.40606788022531";"(53.566514917420214, -113.40606788022531)"
"2018";"4";"APRIL";"APRIL-2018";"Schonsee";"2700";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.63237";"-113.4551458897454";"(53.63236670512185, -113.4551458897454)"
"2020";"6";"JUNE";"JUNE-2020";"Wild Rose";"6790";"Nuisance Property";"Citizen";"Resolved Complaint";"10";"53.47058";"-113.381166576475";"(53.47058430162453, -113.381166576475)"
"2011";"8";"AUGUST";"AUGUST-2011";"Greenview";"6280";"Weeds";"Citizen";"Resolved Complaint";"2";"53.47542";"-113.42781024864587";"(53.47542124312953, -113.42781024864587)"
"2018";"5";"MAY";"MAY-2018";"Minchau";"6530";"Weeds";"Citizen";"Resolved Complaint";"1";"53.46681";"-113.40708904280103";"(53.46681080938951, -113.40708904280103)"
"2020";"6";"JUNE";"JUNE-2020";"McKernan";"5290";"Nuisance Property";"By-law Officer";"Resolved Complaint";"8";"53.51273";"-113.52044197947863";"(53.51272851151938, -113.52044197947863)"
"2020";"8";"AUGUST";"AUGUST-2020";"Spruce Avenue";"1230";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.56463";"-113.50197643546534";"(53.56462855872456, -113.50197643546534)"
"2013";"9";"SEPTEMBER";"SEPTEMBER-2013";"Strathcona";"5480";"Weeds";"Citizen";"Resolved Complaint";"2";"53.52239";"-113.4909645397036";"(53.52239098753585, -113.4909645397036)"
"2018";"8";"AUGUST";"AUGUST-2018";"Glenwood";"4180";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.53645";"-113.60277044031012";"(53.53645466158683, -113.60277044031012)"
"2016";"3";"MARCH";"MARCH-2016";"Eaux Claires";"2241";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.62163";"-113.48567089190382";"(53.62163101867681, -113.48567089190382)"
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"Dovercourt";"3170";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.57568";"-113.55759021866957";"(53.57567554087078, -113.55759021866957)"
"2014";"4";"APRIL";"APRIL-2014";"Spruce Avenue";"1230";"Nuisance Property";"By-law Officer";"Resolved Complaint";"3";"53.56463";"-113.50197643546534";"(53.56462855872456, -113.50197643546534)"
"2014";"12";"DECEMBER";"DECEMBER-2014";"Haddow";"5610";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"1";"53.45519";"-113.59694803951143";"(53.45518529513794, -113.59694803951143)"
"2017";"10";"OCTOBER";"OCTOBER-2017";"Pylypow Industrial";"6590";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.49732";"-113.40598836149857";"(53.49731801799593, -113.40598836149857)"
"2014";"10";"OCTOBER";"OCTOBER-2014";"Lauderdale";"3260";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.58845";"-113.50425629414346";"(53.58845355523689, -113.50425629414346)"
"2016";"8";"AUGUST";"AUGUST-2016";"Beacon Heights";"2040";"Nuisance Property";"Citizen";"Resolved Complaint";"5";"53.57353";"-113.40604017904667";"(53.57353309911853, -113.40604017904667)"
"2015";"12";"DECEMBER";"DECEMBER-2015";"Duggan";"5160";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.47149";"-113.5060584565456";"(53.471492755040344, -113.5060584565456)"
"2012";"5";"MAY";"MAY-2012";"Weinlos";"6770";"Nuisance Property";"By-law Officer";"Resolved Complaint";"7";"53.45997";"-113.4136093216707";"(53.45997443527031, -113.4136093216707)"
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"Downtown";"1090";"Unlicensed Business";"Citizen";"Resolved Complaint";"27";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2014";"12";"DECEMBER";"DECEMBER-2014";"Hawin Park Estate Industrial";"4190";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.57414";"-113.59658128339153";"(53.57413861135331, -113.59658128339153)"
"2019";"3";"MARCH";"MARCH-2019";"Aldergrove";"4020";"Unlicensed Business";"Citizen";"Resolved Complaint";"6";"53.51689";"-113.6412392123956";"(53.51688913776262, -113.6412392123956)"
"2017";"11";"NOVEMBER";"NOVEMBER-2017";"McLeod";"2530";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"3";"53.61035";"-113.43665989346127";"(53.610349445666266, -113.43665989346127)"
"2015";"5";"MAY";"MAY-2015";"Glengarry";"2290";"Weeds";"Citizen";"Resolved Complaint";"4";"53.59586";"-113.47961157254134";"(53.59585580957678, -113.47961157254134)"
"2019";"5";"MAY";"MAY-2019";"Bannerman";"2030";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.60393";"-113.37864928309097";"(53.60392714000134, -113.37864928309097)"
"2012";"9";"SEPTEMBER";"SEPTEMBER-2012";"Beverly Heights";"2100";"Weeds";"Citizen";"Resolved Complaint";"2";"53.56651";"-113.40606788022531";"(53.566514917420214, -113.40606788022531)"
"2012";"7";"JULY";"JULY-2012";"Holyrood";"6310";"Nuisance Property";"Citizen";"Resolved Complaint";"4";"53.53136";"-113.45017788123798";"(53.531364142804755, -113.45017788123798)"
"2016";"10";"OCTOBER";"OCTOBER-2016";"Lansdowne";"5260";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.48731";"-113.54849544072694";"(53.48730696241941, -113.54849544072694)"
"2018";"2";"FEBRUARY";"FEBRUARY-2018";"Delwood";"2230";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"2";"53.59594";"-113.45513078354243";"(53.595936718227186, -113.45513078354243)"
"2020";"8";"AUGUST";"AUGUST-2020";"Dovercourt";"3170";"Weeds";"Citizen";"Resolved Complaint";"3";"53.57568";"-113.55759021866957";"(53.57567554087078, -113.55759021866957)"
"2014";"6";"JUNE";"JUNE-2014";"Wild Rose";"6790";"Weeds";"Citizen";"Under Investigation";"1";"53.47058";"-113.381166576475";"(53.47058430162453, -113.381166576475)"
"2014";"3";"MARCH";"MARCH-2014";"Blue Quill";"5060";"Nuisance Property";"Citizen";"Resolved Complaint";"6";"53.45762";"-113.52625123248475";"(53.457619786228214, -113.52625123248475)"
"2020";"2";"FEBRUARY";"FEBRUARY-2020";"Carlisle";"3090";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.60351";"-113.52591439426728";"(53.603513394520945, -113.52591439426728)"
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"Hollick-Kenyon";"2340";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.62224";"-113.42231558564893";"(53.622244970022614, -113.42231558564893)"
"2018";"7";"JULY";"JULY-2018";"Downtown";"1090";"Graffiti";"Citizen";"Resolved Complaint";"11";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2013";"3";"MARCH";"MARCH-2013";"Mayliewan";"2511";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"2";"53.62229";"-113.46031413409592";"(53.6222906119968, -113.46031413409592)"
"2013";"12";"DECEMBER";"DECEMBER-2013";"Elsinore";"3190";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"4";"53.64071";"-113.49938765518463";"(53.64070616624647, -113.49938765518463)"
"2013";"8";"AUGUST";"AUGUST-2013";"Parkdale";"1160";"Nuisance Property";"By-law Officer";"Resolved Complaint";"3";"53.56585";"-113.4687640829555";"(53.56584892697631, -113.4687640829555)"
"2015";"3";"MARCH";"MARCH-2015";"Central McDougall";"1030";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"9";"53.55333";"-113.5010745813031";"(53.55333276224116, -113.5010745813031)"
"2016";"4";"APRIL";"APRIL-2016";"Cy Becker";"2611";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.63285";"-113.40731411023681";"(53.63285325519261, -113.40731411023681)"
"2017";"12";"DECEMBER";"DECEMBER-2017";"Schonsee";"2700";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"10";"53.63237";"-113.4551458897454";"(53.63236670512185, -113.4551458897454)"
"2014";"3";"MARCH";"MARCH-2014";"Greenfield";"5220";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.47108";"-113.52750535276493";"(53.47107961781133, -113.52750535276493)"
"2018";"6";"JUNE";"JUNE-2018";"Grovenor";"3210";"Weeds";"Citizen";"Resolved Complaint";"12";"53.54592";"-113.57186010358208";"(53.545921791152516, -113.57186010358208)"
"2015";"1";"JANUARY";"JANUARY-2015";"Cumberland";"3150";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"5";"53.61061";"-113.55318828997665";"(53.610605092147075, -113.55318828997665)"
"2020";"1";"JANUARY";"JANUARY-2020";"Ottewell";"6550";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.53134";"-113.43074604760109";"(53.53134376415048, -113.43074604760109)"
"2014";"12";"DECEMBER";"DECEMBER-2014";"Schonsee";"2700";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.63237";"-113.4551458897454";"(53.63236670512185, -113.4551458897454)"
"2019";"4";"APRIL";"APRIL-2019";"Chappelle Area";"5462";"Nuisance Property";"Citizen";"Resolved Complaint";"7";"53.40292";"-113.58684458014213";"(53.4029240038706, -113.58684458014213)"
"2013";"6";"JUNE";"JUNE-2013";"McQueen";"3300";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.55495";"-113.57185410775001";"(53.55494667630298, -113.57185410775001)"
"2013";"5";"MAY";"MAY-2013";"MacEwan";"5452";"Weeds";"By-law Officer";"Resolved Complaint";"3";"53.42875";"-113.52694133798337";"(53.42875133707013, -113.52694133798337)"
"2019";"4";"APRIL";"APRIL-2019";"McCauley";"1140";"Unlicensed Business";"Citizen";"Resolved Complaint";"12";"53.55551";"-113.48141781132108";"(53.55550744739304, -113.48141781132108)"
"2017";"5";"MAY";"MAY-2017";"Queen Alexandra";"5330";"Graffiti";"Citizen";"Resolved Complaint";"2";"53.51233";"-113.50484705945985";"(53.51233223489751, -113.50484705945985)"
"2017";"2";"FEBRUARY";"FEBRUARY-2017";"Inglewood";"3240";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"53.56461";"-113.54083440615169";"(53.56461022950754, -113.54083440615169)"
"2016";"5";"MAY";"MAY-2016";"Larkspur";"6390";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.48015";"-113.38123847033486";"(53.48015149606623, -113.38123847033486)"
"2015";"10";"OCTOBER";"OCTOBER-2015";"West Jasper Place";"4580";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.53640";"-113.58416326264262";"(53.5364030666796, -113.58416326264262)"
"2016";"1";"JANUARY";"JANUARY-2016";"Lymburn";"4270";"Unlicensed Business";"Citizen";"Resolved Complaint";"7";"53.50755";"-113.64228700707193";"(53.507553554396765, -113.64228700707193)"
"2017";"9";"SEPTEMBER";"SEPTEMBER-2017";"Kiniski Gardens";"6370";"Nuisance Property";"Citizen";"Resolved Complaint";"7";"53.47481";"-113.40351643758787";"(53.47480588482717, -113.40351643758787)"
"2016";"1";"JANUARY";"JANUARY-2016";"Spruce Avenue";"1230";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.56463";"-113.50197643546534";"(53.56462855872456, -113.50197643546534)"
"2012";"4";"APRIL";"APRIL-2012";"Strathearn";"6710";"Nuisance Property";"By-law Officer";"Resolved Complaint";"2";"53.53131";"-113.46408997230512";"(53.531312823810254, -113.46408997230512)"
"2012";"1";"JANUARY";"JANUARY-2012";"Beacon Heights";"2040";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.57353";"-113.40604017904667";"(53.57353309911853, -113.40604017904667)"
"2012";"10";"OCTOBER";"OCTOBER-2012";"McCauley";"1140";"Graffiti";"By-law Officer";"Resolved Complaint";"19";"53.55551";"-113.48141781132108";"(53.55550744739304, -113.48141781132108)"
"2019";"11";"NOVEMBER";"NOVEMBER-2019";"Duggan";"5160";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.47149";"-113.5060584565456";"(53.471492755040344, -113.5060584565456)"
"2011";"8";"AUGUST";"AUGUST-2011";"Queen Alexandra";"5330";"Nuisance Property";"By-law Officer";"Resolved Complaint";"10";"53.51233";"-113.50484705945985";"(53.51233223489751, -113.50484705945985)"
"2016";"3";"MARCH";"MARCH-2016";"Oliver";"1150";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"1";"53.54199";"-113.52399426586823";"(53.541993233892136, -113.52399426586823)"
"2013";"5";"MAY";"MAY-2013";"Rutherford";"5454";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.41751";"-113.52874800563353";"(53.41751073053943, -113.52874800563353)"
"2011";"9";"SEPTEMBER";"SEPTEMBER-2011";"Britannia Youngstown";"4060";"Nuisance Property";"By-law Officer";"Resolved Complaint";"3";"53.54628";"-113.60149844673005";"(53.54628475992977, -113.60149844673005)"
"2020";"10";"OCTOBER";"OCTOBER-2020";"Jamieson Place";"4220";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.48968";"-113.64789699325678";"(53.48967928807379, -113.64789699325678)"
"2015";"3";"MARCH";"MARCH-2015";"Clover Bar Area";"2160";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"7";"53.59153";"-113.3334090942855";"(53.59153124341053, -113.3334090942855)"
"2011";"4";"APRIL";"APRIL-2011";"Parkdale";"1160";"Nuisance Property";"Citizen";"Resolved Complaint";"5";"53.56585";"-113.4687640829555";"(53.56584892697631, -113.4687640829555)"
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"Industrial Heights";"2360";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.58102";"-113.43741002097478";"(53.58102177103979, -113.43741002097478)"
"2012";"8";"AUGUST";"AUGUST-2012";"Cumberland";"3150";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.61061";"-113.55318828997665";"(53.610605092147075, -113.55318828997665)"
"2016";"11";"NOVEMBER";"NOVEMBER-2016";"Walker";"6662";"Nuisance Property";"By-law Officer";"Resolved Complaint";"2";"53.41767";"-113.43043554360622";"(53.41767254622824, -113.43043554360622)"
"2014";"1";"JANUARY";"JANUARY-2014";"Suder Greens";"4730";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"27";"53.52458";"-113.67727644729212";"(53.52458442915894, -113.67727644729212)"
"2015";"1";"JANUARY";"JANUARY-2015";"Lansdowne";"5260";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.48731";"-113.54849544072694";"(53.48730696241941, -113.54849544072694)"
"2014";"8";"AUGUST";"AUGUST-2014";"North Glenora";"3310";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.55495";"-113.55826488479815";"(53.554947960393555, -113.55826488479815)"
"2013";"1";"JANUARY";"JANUARY-2013";"Pleasantview";"5320";"Unlicensed Business";"Citizen";"Resolved Complaint";"6";"53.49318";"-113.507116596";"(53.49318018561233, -113.507116596)"
"2013";"5";"MAY";"MAY-2013";"Delton";"1080";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.57900";"-113.48244953229602";"(53.57900463350049, -113.48244953229602)"
"2018";"1";"JANUARY";"JANUARY-2018";"McCauley";"1140";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.55551";"-113.48141781132108";"(53.55550744739304, -113.48141781132108)"
"2019";"3";"MARCH";"MARCH-2019";"Alberta Avenue";"1010";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"7";"53.56848";"-113.48516811507994";"(53.56847906718172, -113.48516811507994)"
"2020";"6";"JUNE";"JUNE-2020";"Eastwood";"1100";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.57609";"-113.46874575611328";"(53.57608628955444, -113.46874575611328)"
"2019";"8";"AUGUST";"AUGUST-2019";"Capilano";"6061";"Weeds";"Citizen";"Resolved Complaint";"4";"53.55465";"-113.42277556278047";"(53.554645683010186, -113.42277556278047)"
"2011";"11";"NOVEMBER";"NOVEMBER-2011";"West Meadowlark Park";"4590";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"3";"53.52559";"-113.60905139680362";"(53.525588747192025, -113.60905139680362)"
"2019";"7";"JULY";"JULY-2019";"Crystallina Nera West";"2463";"Weeds";"By-law Officer";"Under Investigation";"1";"53.64029";"-113.46072364095758";"(53.640292019604566, -113.46072364095758)"
"2013";"6";"JUNE";"JUNE-2013";"Garneau";"5200";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.52014";"-113.51466073815163";"(53.520137013740865, -113.51466073815163)"
"2011";"1";"JANUARY";"JANUARY-2011";"River Valley Walterdale";"5390";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"1";"53.53068";"-113.52030437683392";"(53.5306777918114, -113.52030437683392)"
"2012";"12";"DECEMBER";"DECEMBER-2012";"Greenfield";"5220";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"9";"53.47108";"-113.52750535276493";"(53.47107961781133, -113.52750535276493)"
"2020";"9";"SEPTEMBER";"SEPTEMBER-2020";"Albany";"3460";"Weeds";"Citizen";"Resolved Complaint";"1";"53.63238";"-113.54942007309295";"(53.63237907826179, -113.54942007309295)"
"2011";"4";"APRIL";"APRIL-2011";"McCauley";"1140";"Nuisance Property";"By-law Officer";"Resolved Complaint";"24";"53.55551";"-113.48141781132108";"(53.55550744739304, -113.48141781132108)"
"2018";"10";"OCTOBER";"OCTOBER-2018";"Montrose";"2550";"Nuisance Property";"Citizen";"Resolved Complaint";"5";"53.57512";"-113.44219934684766";"(53.57511738753874, -113.44219934684766)"
"2018";"12";"DECEMBER";"DECEMBER-2018";"Paisley";"5469";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"7";"53.41402";"-113.55927334529876";"(53.414017932031626, -113.55927334529876)"
"2015";"8";"AUGUST";"AUGUST-2015";"MacEwan";"5452";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.42875";"-113.52694133798337";"(53.42875133707013, -113.52694133798337)"
"2018";"1";"JANUARY";"JANUARY-2018";"Meadowlark Park";"4310";"Nuisance Property";"By-law Officer";"Resolved Complaint";"2";"53.52553";"-113.59655190605099";"(53.52552528599914, -113.59655190605099)"
"2014";"10";"OCTOBER";"OCTOBER-2014";"Baturyn";"3030";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.63098";"-113.50432990230655";"(53.63098479629288, -113.50432990230655)"
"2012";"6";"JUNE";"JUNE-2012";"Delton";"1080";"Nuisance Property";"Citizen";"Resolved Complaint";"8";"53.57900";"-113.48244953229602";"(53.57900463350049, -113.48244953229602)"
"2015";"9";"SEPTEMBER";"SEPTEMBER-2015";"Henderson Estates";"5230";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.46760";"-113.59739074301527";"(53.467604482104385, -113.59739074301527)"
"2017";"8";"AUGUST";"AUGUST-2017";"Prince Charles";"3350";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.57547";"-113.53598781792246";"(53.57546939176514, -113.53598781792246)"
"2019";"10";"OCTOBER";"OCTOBER-2019";"Delwood";"2230";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.59594";"-113.45513078354243";"(53.595936718227186, -113.45513078354243)"
"2020";"8";"AUGUST";"AUGUST-2020";"Bulyea Heights";"5100";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.47776";"-113.56917224481626";"(53.47776108214907, -113.56917224481626)"
"2013";"4";"APRIL";"APRIL-2013";"Tamarack";"6443";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.46471";"-113.3591832101987";"(53.46471142005772, -113.3591832101987)"
"2018";"7";"JULY";"JULY-2018";"Kilkenny";"2410";"Nuisance Property";"Citizen";"Resolved Complaint";"6";"53.61041";"-113.45511899300851";"(53.6104067025493, -113.45511899300851)"
"2017";"7";"JULY";"JULY-2017";"Elmwood Park";"1130";"Nuisance Property";"Citizen";"Resolved Complaint";"6";"53.57959";"-113.46094200098248";"(53.579588701087985, -113.46094200098248)"
"2017";"5";"MAY";"MAY-2017";"Ritchie";"6610";"Nuisance Property";"Citizen";"Resolved Complaint";"12";"53.51329";"-113.4802306338554";"(53.513293804114674, -113.4802306338554)"
"2013";"2";"FEBRUARY";"FEBRUARY-2013";"Southeast Industrial";"6690";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.49973";"-113.37483267638905";"(53.49973087594548, -113.37483267638905)"
"2014";"2";"FEBRUARY";"FEBRUARY-2014";"Alberta Avenue";"1010";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"6";"53.56848";"-113.48516811507994";"(53.56847906718172, -113.48516811507994)"
"2011";"11";"NOVEMBER";"NOVEMBER-2011";"King Edward Park";"6360";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.51516";"-113.45062583260703";"(53.51516193312055, -113.45062583260703)"
"2015";"10";"OCTOBER";"OCTOBER-2015";"Newton";"2560";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.57629";"-113.42512820186101";"(53.576288318720806, -113.42512820186101)"
"2020";"4";"APRIL";"APRIL-2020";"Belmead";"4040";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.52557";"-113.64101345308048";"(53.52557425219291, -113.64101345308048)"
"2017";"6";"JUNE";"JUNE-2017";"Mill Woods Town Centre";"6520";"Unlicensed Business";"Citizen";"Resolved Complaint";"4";"53.45646";"-113.42747433161568";"(53.456455411776375, -113.42747433161568)"
"2013";"2";"FEBRUARY";"FEBRUARY-2013";"Wellington";"3430";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"4";"53.59581";"-113.55269525115219";"(53.595808482311625, -113.55269525115219)"
"2012";"6";"JUNE";"JUNE-2012";"Yellowhead Corridor West";"1280";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.58281";"-113.51283346549538";"(53.582814567361666, -113.51283346549538)"
"2016";"6";"JUNE";"JUNE-2016";"Strathcona";"5480";"Weeds";"Citizen";"Resolved Complaint";"12";"53.52239";"-113.4909645397036";"(53.52239098753585, -113.4909645397036)"
"2016";"11";"NOVEMBER";"NOVEMBER-2016";"Evansdale";"2260";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.61086";"-113.47956900527386";"(53.610864743772225, -113.47956900527386)"
"2018";"5";"MAY";"MAY-2018";"Strathcona Junction";"5151";"Nuisance Property";"Citizen";"Resolved Complaint";"4";"53.50781";"-113.49466554530919";"(53.50780623037144, -113.49466554530919)"
"2015";"7";"JULY";"JULY-2015";"Leger";"5630";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.45772";"-113.57740906861547";"(53.4577181888475, -113.57740906861547)"
"2013";"1";"JANUARY";"JANUARY-2013";"Casselman";"2130";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.61136";"-113.42381682322393";"(53.61136256648454, -113.42381682322393)"
"2011";"4";"APRIL";"APRIL-2011";"Aldergrove";"4020";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.51689";"-113.6412392123956";"(53.51688913776262, -113.6412392123956)"
