Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count
General Business,2018046 ALBERTA INC.,,310174819-002,ISSUED,04/06/2020 12:00:00 AM,04/06/2021 12:00:00 AM,,6330,Jackson Heights,Ward 11,,,,1
General Industrial,WESTBURNE ELECTRICAL SUPPLY,13155 - 149 STREET NW,7394252-001,ISSUED,02/11/2020 12:00:00 AM,02/11/2021 12:00:00 AM,,4050,Bonaventure Industrial,Ward 2,53.592324,-113.576879,"(53.592324075622976, -113.57687866999356)",1
Minor Retail Store,FURNITURE & ACCESSORIES BY SIGNATURE LANE INTERIORS,10915 - 170 STREET NW,132802498-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4600,West Sheffield Industrial,Ward 1,53.556467,-113.614387,"(53.55646689384988, -113.61438710787286)",1
General Contractor,ALTIMA INVESTMENTS INC,,290874443-002,ISSUED,09/28/2020 12:00:00 AM,09/28/2021 12:00:00 AM,,5490,Sweet Grass,Ward 10,,,,1
General Contractor,ACTIVE HOMES,6924 - 76 AVENUE NW,156089525-002,ISSUED,07/03/2020 12:00:00 AM,07/07/2021 12:00:00 AM,,6260,Girard Industrial,Ward 11,53.512827,-113.434466,"(53.512826871767786, -113.43446557012135)",1
General Business,COMMODITY RELOCATION SERVICES,,84254285-002,ISSUED,03/10/2020 12:00:00 AM,03/16/2021 12:00:00 AM,,6750,Tipaskan,Ward 11,,,,1
Restaurant or Food Service,ZESTY BAR AND GRILL,17620 - 100 AVENUE NW,296631423-002,RENEWAL NOTICE,11/28/2019 12:00:00 AM,11/28/2020 12:00:00 AM,,4400,Place LaRue,Ward 1,53.538499,-113.624902,"(53.53849860774443, -113.6249024818822)",1
General Contractor,DIXIE ELECTRIC,16824 - 114 AVENUE NW,68145080-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4350,Norwester Industrial,Ward 1,53.563840,-113.611713,"(53.56383975535376, -113.61171333606507)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),WEINI'S RESTAURANT,10514 - 111 STREET NW,340526439-002,ISSUED,07/29/2020 12:00:00 AM,07/28/2021 12:00:00 AM,North Edge,1180,Queen Mary Park,Ward 6,53.548890,-113.512641,"(53.54889030019313, -113.51264073196565)",1
Minor Retail Store,PROFESSION LIMB & BRACE,"101, 10256 - 112 STREET NW",353955259-002,ISSUED,03/10/2020 12:00:00 AM,03/09/2021 12:00:00 AM,,1150,Oliver,Ward 6,53.544293,-113.514472,"(53.544292599665255, -113.51447217338982)",1
Vehicle Sales/Rental,EMPIRE AUTO,,246328607-002,ISSUED,07/03/2020 12:00:00 AM,07/05/2021 12:00:00 AM,,3030,Baturyn,Ward 3,,,,1
Restaurant or Food Service,PIZZA 73 #1084,16236 - ELLERSLIE ROAD SW,245177221-002,ISSUED,06/26/2020 12:00:00 AM,06/26/2021 12:00:00 AM,,5505,Ambleside,Ward 9,53.424321,-113.604539,"(53.42432143298236, -113.60453851079441)",1
General Business,RE/MAX REAL ESTATE,10805 - 120 STREET NW,155124716-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,1180,Queen Mary Park,Ward 6,53.553255,-113.528335,"(53.55325489718118, -113.52833462744508)",1
General Contractor,EDMONTON PREVENTATIVE MAINTENANCE & REPAIR,,177198564-002,ISSUED,07/03/2020 12:00:00 AM,08/06/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,,,,1
Food Processing,CREME PUFF BAKERY,"46, 10025 - JASPER AVENUE NW",148943737-001,ISSUED,03/10/2020 12:00:00 AM,03/15/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.540714,-113.490948,"(53.54071414906602, -113.49094792741306)",1
General Business,NOS EXPRESS,,7439729-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6730,Terrace Heights,Ward 8,,,,1
General Contractor,TEKLU & TIGIST CLEANING SERVICES LTD,,176099789-002,ISSUED,07/03/2020 12:00:00 AM,07/16/2021 12:00:00 AM,North Edge,1030,Central McDougall,Ward 6,,,,1
Participant Recreation Services,THE ACADEMY OF EUROPEAN SWORDSMANSHIP,6115 - FULTON ROAD NW,274022611-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,6240,Fulton Place,Ward 8,53.546584,-113.424432,"(53.54658388622208, -113.42443227572562)",1
General Business,HIGHLAND MOVING & STORAGE LTD,14490 - 157 AVENUE NW,167804768-002,ISSUED,07/03/2020 12:00:00 AM,07/31/2021 12:00:00 AM,,3360,Rampart Industrial,Ward 2,53.619185,-113.571728,"(53.61918528872571, -113.57172846280142)",1
Public Market Vendor,TIM RACINE,12011 - 111 AVENUE NW,149367268-001,ISSUED,02/04/2020 12:00:00 AM,02/15/2021 12:00:00 AM,Kingsway,1180,Queen Mary Park,Ward 6,53.558002,-113.529861,"(53.55800223935403, -113.52986130235065)",1
General Business,KINDERHAVEN COUNSELLING,,310886229-002,ISSUED,07/03/2020 12:00:00 AM,07/14/2021 12:00:00 AM,,3450,Woodcroft,Ward 2,,,,1
Personal Service Shop,REFLEXOLOGY BY COLETTE,,316192272-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,6310,Holyrood,Ward 8,,,,1
Vehicle Sales/Rental,SD MOTORS,16325 - STONY PLAIN ROAD NW,323331493-002,ISSUED,07/29/2020 12:00:00 AM,07/29/2021 12:00:00 AM,Stony Plain Road and Area,4180,Glenwood,Ward 1,53.541007,-113.603988,"(53.54100704091939, -113.60398822230422)",1
General Business,ZENTESSENCE MEDIA INC.,,352691208-002,ISSUED,02/04/2020 12:00:00 AM,02/03/2021 12:00:00 AM,,2100,Beverly Heights,Ward 7,,,,1
General Business,SORRELL FINANCIAL INC,"2600, 10111 - 104 AVENUE NW",283562666-002,ISSUED,05/14/2020 12:00:00 AM,05/28/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.545711,-113.494631,"(53.54571106443111, -113.49463114932139)",1
General Business,FUEL PAIN AND INJURY RECOVERY CLINIC,,356407704-002,ISSUED,06/18/2020 12:00:00 AM,12/18/2021 12:00:00 AM,,4230,Jasper Park,Ward 1,,,,1
Participant Recreation Services,ESCAPE HOUR,"326, 1 - EDMONTON CITY CENTRE NW",304950707-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.543855,-113.491586,"(53.54385536479652, -113.49158563405543)",1
General Contractor,POSSUM ELECTRIC,,109779610-002,ISSUED,05/08/2020 12:00:00 AM,06/07/2021 12:00:00 AM,,1010,Alberta Avenue,Ward 7,,,,1
General Business,AVILLIA DEVELOPMENTS LTD,"328, 14127 - 23 AVENUE NW",260414931-002,RENEWAL NOTICE,11/07/2019 12:00:00 AM,11/28/2020 12:00:00 AM,,5476,Magrath Heights,Ward 9,53.453053,-113.562972,"(53.453053354053914, -113.5629716232354)",1
Minor Retail Store,NXT LVL VAPE & BONG,7209A - 101 AVENUE NW,368505744-002,ISSUED,08/19/2020 12:00:00 AM,08/18/2021 12:00:00 AM,,6730,Terrace Heights,Ward 8,53.540912,-113.438921,"(53.54091191432065, -113.43892126262524)",1
Restaurant or Food Service,EAST AFRICAN VILLAGE,10117 - 107 AVENUE NW,364448233-002,ISSUED,07/03/2020 12:00:00 AM,07/02/2021 12:00:00 AM,North Edge,1030,Central McDougall,Ward 6,53.551164,-113.495030,"(53.55116429284153, -113.4950304334509)",1
General Business,HUGHES PETROLEUM,6005 - 99 STREET NW,7257364-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6100,Coronet Industrial,Ward 11,53.496117,-113.485477,"(53.49611716168309, -113.48547749543775)",1
General Contractor,COOLZONE SERVICE LTD,,60043539-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4014,Anthony Henday South,Ward 9,,,,1
Vehicle Fueling Station,HUGHES PETROLEUM,8004 - ROPER ROAD NW,43530173-007,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6430,McIntyre Industrial,Ward 11,53.492585,-113.445164,"(53.49258518882163, -113.44516354453717)",1
General Business,HENRY GIZMO WILLIAMS ENTERPRISES,,112080954-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4110,Dechene,Ward 5,,,,1
General Business,ROCKWELL AUTOMATION INC,11510 - 168 STREET NW,223852141-002,ISSUED,05/01/2020 12:00:00 AM,05/07/2021 12:00:00 AM,,4350,Norwester Industrial,Ward 1,53.565165,-113.611646,"(53.56516521588899, -113.61164636946694)",1
Alcohol Sales (Consumption Off Premises),TOPS LIQUOR,7440 - 82 AVENUE NW,364577317-002,ISSUED,07/03/2020 12:00:00 AM,07/02/2021 12:00:00 AM,,6350,Kenilworth,Ward 8,53.518356,-113.441801,"(53.51835637898806, -113.44180058112167)",1
General Business,ENGRX CORP,4929 - 74 AVENUE NW,277006278-002,ISSUED,07/03/2020 12:00:00 AM,07/09/2021 12:00:00 AM,,6780,Weir Industrial,Ward 11,53.509677,-113.417342,"(53.50967747549354, -113.4173419690667)",1
General Business,HUGHES PETROLEUM,7110 - 82 AVENUE NW,7252650-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6350,Kenilworth,Ward 8,53.518356,-113.437479,"(53.518355945681016, -113.43747888256281)",1
General Contractor,REDBRICK REAL ESTATE SERVICES,"202, 10526 - JASPER AVENUE NW",243056807-002,RENEWAL NOTICE,11/28/2019 12:00:00 AM,12/06/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.541274,-113.501875,"(53.54127435255207, -113.50187537346275)",1
General Contractor,YAZ PAINTING & RENO LTD,,227861913-002,ISSUED,12/21/2019 12:00:00 AM,12/21/2020 12:00:00 AM,,3080,Canossa,Ward 3,,,,1
General Business,RE/MAX ELITE,8104 - 160 AVENUE NW,263005960-002,ISSUED,09/19/2020 12:00:00 AM,10/18/2021 12:00:00 AM,,2511,Mayliewan,Ward 3,53.621142,-113.466016,"(53.62114212922431, -113.46601598455477)",1
General Business,MIKSMEDIA INC.,,311183342-002,ISSUED,04/06/2020 12:00:00 AM,04/14/2021 12:00:00 AM,,2280,Fraser,Ward 4,,,,1
Minor Retail Store,VITA HOME HEALTH CARE LTD,"MNFL, 9124 - 82 AVENUE NW",223290868-005,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,French Quarter and Area,6040,Bonnie Doon,Ward 8,53.518343,-113.468523,"(53.518342784192825, -113.46852330398409)",1
Minor Retail Store,SML HOT TUBS AND HOME LEISURE,4142 - 99 STREET NW,312450377-002,ISSUED,05/14/2020 12:00:00 AM,06/11/2021 12:00:00 AM,,6700,Strathcona Industrial Park,Ward 11,53.478174,-113.486983,"(53.47817371978744, -113.48698262157379)",1
General Contractor,SMARTER WELDING LTD,,75479405-002,ISSUED,02/11/2020 12:00:00 AM,03/03/2021 12:00:00 AM,,5452,MacEwan,Ward 9,,,,1
General Business,CRACKING THE CODE EDUCATIONAL SERVICES,,70307072-002,ISSUED,07/03/2020 12:00:00 AM,08/09/2021 12:00:00 AM,,5320,Pleasantview,Ward 10,,,,1
Alcohol Sales (Consumption On Premises/Minors Prohibited),SAWMILL PRIME RIB & STEAK HOUSE CALGARY TRAIL,4810 - CALGARY TRAIL NW,7258921-001,ISSUED,09/28/2020 12:00:00 AM,09/28/2021 12:00:00 AM,,5170,Empire Park,Ward 10,53.486417,-113.495852,"(53.486416596131264, -113.49585199085577)",1
General Business,ROCKY MOUNTAIN SOAP COMPANY (EDMONTON) INC,"2888, 8882 - 170 STREET NW",51857817-001,RENEWAL NOTICE,10/29/2019 12:00:00 AM,11/28/2020 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
General Business,EASY CHILL RENTALS,,325223663-002,ISSUED,07/03/2020 12:00:00 AM,07/21/2021 12:00:00 AM,,5511,Twin Brooks,Ward 10,,,,1
Personal Service Shop,LIVELY FOOT,,257002934-002,ISSUED,07/03/2020 12:00:00 AM,07/10/2021 12:00:00 AM,,4590,West Meadowlark Park,Ward 1,,,,1
General Business,HOLLICK KENYON CARWASH,5010 - 162 AVENUE NW,290097571-002,ISSUED,10/14/2020 12:00:00 AM,10/14/2021 12:00:00 AM,,2340,Hollick-Kenyon,Ward 4,53.622823,-113.414742,"(53.62282264970153, -113.41474212759641)",1
General Business,GO EASY IMMIGRATION,"2FL, 8714 - 51 AVENUE NW",369594124-002,ISSUED,10/14/2020 12:00:00 AM,01/02/2021 12:00:00 AM,,6430,McIntyre Industrial,Ward 11,53.488597,-113.458104,"(53.488597403226336, -113.45810416040182)",1
Vehicle Fueling Station,7-11 FOOD STORE # 34268,5661 - 23 AVENUE NW,87877582-001,ISSUED,08/19/2020 12:00:00 AM,08/26/2021 12:00:00 AM,,6460,Meyokumin,Ward 11,53.453236,-113.427013,"(53.453235779070866, -113.42701339797097)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),KERALA SOUTH INDIAN RESTAURANT,9221 - 34 AVENUE NW,367034375-002,ISSUED,07/29/2020 12:00:00 AM,07/28/2021 12:00:00 AM,,6570,Parsons Industrial,Ward 11,53.464749,-113.471112,"(53.46474927163202, -113.47111248477353)",1
General Contractor,SOUL MECHANICAL LTD.,11646 - 145 STREET NW,323447559-002,ISSUED,07/03/2020 12:00:00 AM,07/31/2021 12:00:00 AM,,3230,Huff Bremner Estate Industrial,Ward 2,53.569143,-113.570324,"(53.56914307585127, -113.57032412326893)",1
General Business,BAYLINE TRAVEL CORP,,141911973-002,ISSUED,07/03/2020 12:00:00 AM,07/31/2021 12:00:00 AM,,4551,Granville,Ward 5,,,,1
General Business,BUBBLES & BLISS SOAP COMPANY INC.,,339732699-002,ISSUED,09/19/2020 12:00:00 AM,09/24/2021 12:00:00 AM,,4430,Rio Terrace,Ward 5,,,,1
General Business,IBI GROUP GEOMATICS,10830 - JASPER AVENUE NW,222103148-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.541278,-113.507368,"(53.54127776551211, -113.50736809992796)",1
Minor Retail Store,NEW HOUSE FOOD MARKET,16539 - STONY PLAIN ROAD NW,129641118-001,ISSUED,09/19/2020 12:00:00 AM,09/27/2021 12:00:00 AM,Stony Plain Road and Area,4180,Glenwood,Ward 1,53.541007,-113.606779,"(53.541007010262675, -113.6067793709585)",1
General Business,JET LABEL AND PACKAGING LTD,9445 - 49 STREET NW,65496890-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,6180,Eastgate Business Park,Ward 8,53.533433,-113.413558,"(53.533432813835354, -113.41355825232516)",1
Restaurant or Food Service,PHO HA & HOA VIETNAMESE NOODLE HOUSE,9616 - 165 AVENUE NW,224165852-002,ISSUED,07/03/2020 12:00:00 AM,07/24/2021 12:00:00 AM,,2241,Eaux Claires,Ward 3,53.626566,-113.490283,"(53.62656611483355, -113.49028312229598)",1
General Business,J Y INTERNATIONAL,9004 - 50 STREET NW,177209471-002,ISSUED,09/19/2020 12:00:00 AM,10/13/2021 12:00:00 AM,,6550,Ottewell,Ward 8,53.522400,-113.419196,"(53.52239962535873, -113.41919585917533)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),ANVIL COFFEE HOUSE,6148 - 90 AVENUE NW,237946193-003,ISSUED,02/11/2020 12:00:00 AM,03/14/2021 12:00:00 AM,,6550,Ottewell,Ward 8,53.525126,-113.427548,"(53.52512643054361, -113.42754846994163)",1
Restaurant or Food Service,PIZZA 73 #1061,16745 - 100 STREET NW,86922688-001,ISSUED,03/17/2020 12:00:00 AM,03/25/2021 12:00:00 AM,,3030,Baturyn,Ward 3,53.629561,-113.497691,"(53.629561437727105, -113.49769101015217)",1
General Business,FOR BLANKS SAKE,,355573653-002,ISSUED,03/06/2020 12:00:00 AM,03/05/2021 12:00:00 AM,,6760,Tweddle Place,Ward 11,,,,1
Minor Retail Store,I-SPACE TECHNOLOGIES LTD,10353 - 71 AVENUE NW,288205229-002,ISSUED,07/03/2020 12:00:00 AM,07/24/2021 12:00:00 AM,,5151,Strathcona Junction,Ward 8,53.507101,-113.496618,"(53.50710082898013, -113.49661809387639)",1
General Business,WEST END FRAMERS LTD,"101, 17885 - 106A AVENUE NW",7257975-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4640,Wilson Industrial,Ward 1,53.550733,-113.630505,"(53.550732625316094, -113.63050507155207)",1
General Business,HUGHES PETROLEUM,8004 - ROPER ROAD NW,43530173-007,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6430,McIntyre Industrial,Ward 11,53.492585,-113.445164,"(53.49258518882163, -113.44516354453717)",1
Delivery/Transportation Services,HIGHLAND MOVING & STORAGE LTD,14490 - 157 AVENUE NW,167804768-002,ISSUED,07/03/2020 12:00:00 AM,07/31/2021 12:00:00 AM,,3360,Rampart Industrial,Ward 2,53.619185,-113.571728,"(53.61918528872571, -113.57172846280142)",1
General Contractor,INTRIGUE BUILDERS INC.,,364882889-002,ISSUED,07/03/2020 12:00:00 AM,07/02/2021 12:00:00 AM,,3010,Athlone,Ward 2,,,,1
Festival,EDMONTON INTERNATIONAL JAZZ FESTIVAL,10046 - 116 STREET NW,126088640-001,ISSUED,07/03/2020 12:00:00 AM,07/14/2021 12:00:00 AM,,1150,Oliver,Ward 6,53.539983,-113.521831,"(53.539983019348945, -113.52183143881)",1
Vehicle Sales/Rental,UNIPEC HOLDING CANADA,"305, 316 - WINDERMERE ROAD NW",255109900-002,ISSUED,08/19/2020 12:00:00 AM,08/19/2021 12:00:00 AM,,5570,Windermere,Ward 9,53.440412,-113.618790,"(53.440411912442535, -113.6187904861246)",1
Tobacco Sales,HUGHES PETROLEUM,9551 - 167 AVENUE NW,7460853-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,2241,Eaux Claires,Ward 3,53.628210,-113.485911,"(53.62820952555931, -113.4859113310564)",1
General Business,ACTIVE COMPUTERS AND TECHNOLOGY SERVICES,,358073218-002,ISSUED,03/24/2020 12:00:00 AM,03/23/2021 12:00:00 AM,,6662,Walker,Ward 12,,,,1
Personal Service Shop,GLAMOURAI STUDIO,,287053362-002,ISSUED,07/03/2020 12:00:00 AM,07/08/2021 12:00:00 AM,,6662,Walker,Ward 12,,,,1
Tobacco Sales,HUGHES PETROLEUM,7110 - 82 AVENUE NW,7252650-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6350,Kenilworth,Ward 8,53.518356,-113.437479,"(53.518355945681016, -113.43747888256281)",1
General Contractor,A & L HOME REPAIR AND RENO LTD,,140866210-002,ISSUED,07/03/2020 12:00:00 AM,07/09/2021 12:00:00 AM,,2430,Kirkness,Ward 4,,,,1
Personal Service Shop,GODDESS BEAUTY BAR,16705 - 84 STREET NW,362705667-002,ISSUED,07/03/2020 12:00:00 AM,07/02/2021 12:00:00 AM,,2440,Klarvatten,Ward 3,53.629382,-113.469803,"(53.62938245656346, -113.4698029468343)",1
General Business,IPHASE CENTRE,,370402286-002,ISSUED,09/09/2020 12:00:00 AM,09/08/2021 12:00:00 AM,,4730,Suder Greens,Ward 1,,,,1
Restaurant or Food Service,DENNY'S RESTAURANT,16806 - 118 AVENUE NW,125567993-001,ISSUED,08/19/2020 12:00:00 AM,08/19/2021 12:00:00 AM,,4100,Carleton Square Industrial,Ward 1,53.571506,-113.612624,"(53.571506130866204, -113.61262371166829)",1
Vehicle Fueling Station,HUGHES PETROLEUM,6005 - 99 STREET NW,7257364-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6100,Coronet Industrial,Ward 11,53.496117,-113.485477,"(53.49611716168309, -113.48547749543775)",1
General Business,STORE 300 THE UPS STORE,17008 - 90 AVENUE NW,99223921-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.525915,-113.617470,"(53.52591484795855, -113.61746993260792)",1
General Business,HUGHES PETROLEUM,12405 - 97 STREET NW,7261408-001,ISSUED,12/21/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,1080,Delton,Ward 7,53.579724,-113.491519,"(53.57972393300125, -113.49151880895683)",1
General Business,ARTISTIC CREATIONS PHOTOGRAPHY STUDIOS LTD,16210 - 100A AVENUE NW,115857032-005,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,Stony Plain Road and Area,4180,Glenwood,Ward 1,53.540556,-113.601572,"(53.54055619954264, -113.60157210552936)",1
Personal Service Shop,SCULPTURES BEAUTY SALON,13252 - 137 AVENUE NW,150796728-001,ISSUED,04/27/2020 12:00:00 AM,05/28/2021 12:00:00 AM,,3340,Pembina,Ward 2,53.600609,-113.548945,"(53.60060852771331, -113.54894514574245)",1
Restaurant or Food Service,OUR PARENTS HOME #64406,10112 - 119 STREET NW,174798319-002,ISSUED,07/21/2020 12:00:00 AM,08/06/2021 12:00:00 AM,,1150,Oliver,Ward 6,53.541284,-113.527248,"(53.54128387660772, -113.52724829433826)",1
General Business,ALUMEX IMPORTS INC.,4328 - 81 AVENUE NW,325736026-002,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,,6540,Morris Industrial,Ward 11,53.516638,-113.409782,"(53.51663818469146, -113.40978168630743)",1
General Industrial,WEST END FRAMERS LTD,"101, 17885 - 106A AVENUE NW",7257975-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,4640,Wilson Industrial,Ward 1,53.550733,-113.630505,"(53.550732625316094, -113.63050507155207)",1
Small Animal Breeding/Boarding Establishment,CANINE KINGDOM,12817 - 52 STREET NW,231922929-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,2380,Kennedale Industrial,Ward 4,53.586937,-113.420651,"(53.586937234904916, -113.42065149076832)",1
Restaurant or Food Service,TIM HORTON'S,2133 - 99 STREET NW,7438188-001,ISSUED,02/04/2020 12:00:00 AM,02/04/2021 12:00:00 AM,,6195,South Edmonton Common,Ward 11,53.452569,-113.485134,"(53.45256934769498, -113.4851340429521)",1
General Business,ECSI LTD,,304277239-002,ISSUED,02/11/2020 12:00:00 AM,02/26/2021 12:00:00 AM,,5576,Keswick Area,Ward 9,,,,1
General Business,METRO COMPUTERS,"202B, 12222 - 137 AVENUE NW",175816319-002,ISSUED,07/03/2020 12:00:00 AM,07/14/2021 12:00:00 AM,,3090,Carlisle,Ward 2,53.600749,-113.532827,"(53.60074916639294, -113.53282693111258)",1
Food Processing,HANSEN DISTILLERY,17412 - 111 AVENUE NW,222566726-007,ISSUED,10/14/2020 12:00:00 AM,11/08/2021 12:00:00 AM,Northwest Industrial,4030,Armstrong Industrial,Ward 1,53.560124,-113.622869,"(53.560124070704255, -113.62286889589572)",1
General Business,U FINANCIAL ALBERTA INC,12851 - 56 STREET NW,299274528-002,RENEWAL NOTICE,11/29/2019 12:00:00 AM,12/06/2020 12:00:00 AM,,2380,Kennedale Industrial,Ward 4,53.587390,-113.427148,"(53.58739013171793, -113.42714765874388)",1
Minor Retail Store,E & J WATCH & JEWELLERY REPAIR,"1014, 8882 - 170 STREET NW",363065196-002,ISSUED,07/21/2020 12:00:00 AM,07/20/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522653,-113.621915,"(53.52265302089917, -113.62191533321305)",1
Personal Service Shop,DEFINING BEAUTY - LASH & BROW BOUTIQUE,,325588567-002,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,,3180,Dunluce,Ward 3,,,,1
Personal Service Shop,ELYSIUM,9107 - 88 AVENUE NW,111520732-001,RENEWAL NOTICE,12/06/2019 12:00:00 AM,12/06/2020 12:00:00 AM,French Quarter and Area,6040,Bonnie Doon,Ward 8,53.523184,-113.467900,"(53.523183845257435, -113.46790035567219)",1
Amusement Establishment,TYSON'S GRILL & TYSON'S GAMES ROOM & SPORTS BAR,3414 - 118 AVENUE NW,55514111-001,ISSUED,03/24/2020 12:00:00 AM,03/24/2021 12:00:00 AM,Beverly,2040,Beacon Heights,Ward 7,53.571020,-113.395327,"(53.57101953344312, -113.39532706057923)",1
Minor Retail Store,MORRIS FURS (1999) LTD,5820 - 111 STREET NW,125152395-001,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,5270,Lendrum Place,Ward 10,53.495129,-113.517758,"(53.49512905550384, -113.51775765676457)",1
General Business,NEDI CORPORATION,,174019701-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,,,,1
General Contractor,GOING UP DOORS,,303332510-002,ISSUED,07/03/2020 12:00:00 AM,07/14/2021 12:00:00 AM,,2463,Crystallina Nera West,Ward 3,,,,1
General Business,1325714 ALBERTA LTD.,,341980348-002,ISSUED,09/19/2020 12:00:00 AM,09/24/2021 12:00:00 AM,,5620,Hodgson,Ward 9,,,,1
General Business,VISTARA IMMIGRATION CONSULTANTS INC,,257160234-002,ISSUED,07/03/2020 12:00:00 AM,07/11/2021 12:00:00 AM,,2500,Matt Berry,Ward 4,,,,1
Minor Retail Store,PEACOCK,10603 - 107 AVENUE NW,365262065-002,ISSUED,10/22/2020 12:00:00 AM,10/21/2021 12:00:00 AM,North Edge,1030,Central McDougall,Ward 6,53.551115,-113.503447,"(53.5511153497185, -113.50344682163932)",1
Restaurant or Food Service,ON THE EDGE,10305 - 97 STREET NW,342495389-002,RENEWAL NOTICE,11/29/2019 12:00:00 AM,11/28/2020 12:00:00 AM,Downtown,1020,Boyle Street,Ward 6,53.546252,-113.485819,"(53.546252495001255, -113.4858194302842)",1
Minor Retail Store,MEDICINE SHOPPE PHARMACY#340,12411 - 118 AVENUE NW,143654639-001,RENEWAL NOTICE,11/07/2019 12:00:00 AM,11/28/2020 12:00:00 AM,The Crossroads,3240,Inglewood,Ward 2,53.570114,-113.536446,"(53.57011366226576, -113.53644641331617)",1
General Business,BUILD YOUR FUTURE TODAY INC.,,327284715-002,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,,6216,The Orchards At Ellerslie,Ward 12,,,,1
General Industrial,ERIKS INDUSTRIAL SERVICES ULC,9748 - 12 AVENUE SW,77801927-001,ISSUED,03/02/2020 12:00:00 AM,03/02/2021 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.423026,-113.483403,"(53.42302611559435, -113.48340281533767)",1
General Business,ADAM'S CONVENIENCE AND HALAL MEAT,10719 - 107 AVENUE NW,69341146-001,ISSUED,07/03/2020 12:00:00 AM,07/31/2021 12:00:00 AM,North Edge,1030,Central McDougall,Ward 6,53.551163,-113.505282,"(53.55116339213764, -113.50528188642097)",1
General Business,U-NEED ASSISTANCE,,339674231-002,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,,5340,Ramsay Heights,Ward 9,,,,1
General Contractor,SKYVISTA HOMES,,289879634-002,ISSUED,09/19/2020 12:00:00 AM,09/19/2021 12:00:00 AM,,6443,Tamarack,Ward 12,,,,1
Personal Service Shop,ROYAL BEAUTY SPA & MASSAGE THERAPY,,184904860-002,ISSUED,07/03/2020 12:00:00 AM,07/03/2021 12:00:00 AM,,6790,Wild Rose,Ward 12,,,,1
Rental Accommodation,EMPIRE PARK,4440 - 106 STREET NW,7260551-001,ISSUED,01/22/2020 12:00:00 AM,01/22/2021 12:00:00 AM,,5170,Empire Park,Ward 10,53.482951,-113.505476,"(53.48295093884608, -113.50547584608157)",1
