SUMMONS NUMBER,SUMMONS DATE,VIOLATION TIME,VIOLATION DESCRIPTION,ORIGINAL FINE,VIOLATION ADDRESS NUMBER,VIOLATION STREET,VIOLATION FULL ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK
32347308,11/02/2019,1136P,NO STANDING,40,233,FRANKLIN,233 FRANKLIN,Buffalo,NY,42.89016740003878,-78.87520041741128,"(42.89016740003878, -78.87520041741128)",ELLICOTT,District B,165,1,1022
72241024,03/13/2019,0428P,METER OVERTIME,40,834,ELMWOOD,834 ELMWOOD,Buffalo,NY,42.9198347309033,-78.87709262249685,"(42.9198347309033, -78.87709262249685)",DELAWARE,District D,65.01,1,1000
72241025,03/13/2019,0429P,METER OVERTIME,40,834,ELMWOOD,834 ELMWOOD,Buffalo,NY,42.9198347309033,-78.87709262249685,"(42.9198347309033, -78.87709262249685)",DELAWARE,District D,65.01,1,1000
72241026,03/13/2019,0431P,NO PARKING,40,807,ELMWOOD,807 ELMWOOD,Buffalo,NY,42.919116730526355,-78.87694590317274,"(42.919116730526355, -78.87694590317274)",DELAWARE,District D,169,1,1002
72241027,03/13/2019,0433P,PARKED IN HANDICAPPED AREA,110,807,ELMWOOD,807 ELMWOOD,Buffalo,NY,42.919116730526355,-78.87694590317274,"(42.919116730526355, -78.87694590317274)",DELAWARE,District D,169,1,1002
72241028,03/13/2019,0435P,METER OVERTIME,40,834,ELMWOOD,834 ELMWOOD,Buffalo,NY,42.9198347309033,-78.87709262249685,"(42.9198347309033, -78.87709262249685)",DELAWARE,District D,65.01,1,1000
72241029,03/13/2019,0437P,METER OVERTIME,40,765,ELMWOOD,765 ELMWOOD,Buffalo,NY,42.91787798556318,-78.87695693657386,"(42.91787798556318, -78.87695693657386)",DELAWARE,District D,169,2,2001
72241817,03/13/2019,0439P,METER OVERTIME,40,765,ELMWOOD,765 ELMWOOD,Buffalo,NY,42.91787798556318,-78.87695693657386,"(42.91787798556318, -78.87695693657386)",DELAWARE,District D,169,2,2001
72241818,03/13/2019,0441P,NO PARKING,40,731,ELMWOOD,731 ELMWOOD,Buffalo,NY,42.917046639941596,-78.87696573170955,"(42.917046639941596, -78.87696573170955)",DELAWARE,District D,169,2,2002
72241819,03/13/2019,0442P,LESS THAN 20 FT FROM CROSSWALK,40,731,ELMWOOD,731 ELMWOOD,Buffalo,NY,42.917046639941596,-78.87696573170955,"(42.917046639941596, -78.87696573170955)",DELAWARE,District D,169,2,2002
72241820,03/13/2019,0443P,EXPIRED INSPECTION STICKER (ALL),40,715,ELMWOOD,715 ELMWOOD,Buffalo,NY,42.91666377879064,-78.87696833682064,"(42.91666377879064, -78.87696833682064)",DELAWARE,District D,169,2,2002
72241821,03/13/2019,0446P,METER OVERTIME,40,750,ELMWOOD,750 ELMWOOD,Buffalo,NY,42.91751062320508,-78.8771098399547,"(42.91751062320508, -78.8771098399547)",DELAWARE,District D,65.01,1,1005
72241822,03/13/2019,0447P,METER OVERTIME,40,750,ELMWOOD,750 ELMWOOD,Buffalo,NY,42.91751062320508,-78.8771098399547,"(42.91751062320508, -78.8771098399547)",DELAWARE,District D,65.01,1,1005
72241823,03/13/2019,0448P,METER OVERTIME,40,750,ELMWOOD,750 ELMWOOD,Buffalo,NY,42.91751062320508,-78.8771098399547,"(42.91751062320508, -78.8771098399547)",DELAWARE,District D,65.01,1,1005
72241824,03/13/2019,0450P,METER OVERTIME,40,750,ELMWOOD,750 ELMWOOD,Buffalo,NY,42.91751062320508,-78.8771098399547,"(42.91751062320508, -78.8771098399547)",DELAWARE,District D,65.01,1,1005
72241825,03/13/2019,0454P,METER OVERTIME,40,807,ELMWOOD,807 ELMWOOD,Buffalo,NY,42.919116730526355,-78.87694590317274,"(42.919116730526355, -78.87694590317274)",DELAWARE,District D,169,1,1002
72241826,03/13/2019,0537P,NO PARKING,40,21,SANDERS,21 SANDERS,Buffalo,NY,42.956902485836025,-78.86846455118314,"(42.956902485836025, -78.86846455118314)",DELAWARE,District D,51,2,2001
X2315335,08/20/2019,0320P,METER OVERTIME,40,197,FRANKLIN,197 FRANKLIN,Buffalo,NY,42.88905375818061,-78.8755603022596,"(42.88905375818061, -78.8755603022596)",ELLICOTT,District B,165,1,1022
X2315336,08/22/2019,0837A,METER OVERTIME,40,1012,ELMWOOD,1012 ELMWOOD,Buffalo,NY,42.924701864897166,-78.87708448438995,"(42.924701864897166, -78.87708448438995)",DELAWARE,District D,63.01,1,1003
42305560,07/29/2019,1224P,NO PARKING,40,875,ELLICOTT,875 ELLICOTT,Buffalo,NY,42.901947202822875,-78.86662163008927,"(42.901947202822875, -78.86662163008927)",ELLICOTT,District B,31,4,4004
42305561,07/29/2019,1224P,NO PARKING,40,875,ELLICOTT,875 ELLICOTT,Buffalo,NY,42.901947202822875,-78.86662163008927,"(42.901947202822875, -78.86662163008927)",ELLICOTT,District B,31,4,4004
42305562,07/29/2019,1225P,NO PARKING,40,875,ELLICOTT,875 ELLICOTT,Buffalo,NY,42.901947202822875,-78.86662163008927,"(42.901947202822875, -78.86662163008927)",ELLICOTT,District B,31,4,4004
42305563,07/29/2019,0157P,EXPIRED INSPECTION STICKER (ALL),40,22,NORTHAMPTON,22 NORTHAMPTON,Buffalo,NY,42.90771268091524,-78.86625748673744,"(42.90771268091524, -78.86625748673744)",ELLICOTT,District B,168,2,2008
42305564,07/29/2019,0224P,ALTERNATE PARKING,40,269,VIRGINIA,269 VIRGINIA,Buffalo,NY,42.89507708557689,-78.88137677110053,"(42.89507708557689, -78.88137677110053)",FILLMORE,District B,71.02,3,3002
72241827,03/13/2019,0541P,NO STANDING,40,287,SANDERS,287 SANDERS,Buffalo,NY,42.95696920849627,-78.85867231495794,"(42.95696920849627, -78.85867231495794)",DELAWARE,District D,51,1,1011
72241828,03/13/2019,0542P,PARKED LESS THAN 15 FT - FIRE HYDRANT,60,287,SANDERS,287 SANDERS,Buffalo,NY,42.95696920849627,-78.85867231495794,"(42.95696920849627, -78.85867231495794)",DELAWARE,District D,51,1,1011
72241829,03/13/2019,0613P,NO PARKING,40,228,LANCASTER,228 LANCASTER,Buffalo,NY,42.91940820006414,-78.87503601043329,"(42.91940820006414, -78.87503601043329)",DELAWARE,District D,169,1,1002
72241830,03/13/2019,0614P,PARKED LESS THAN 15 FT - FIRE HYDRANT,60,228,LANCASTER,228 LANCASTER,Buffalo,NY,42.91940820006414,-78.87503601043329,"(42.91940820006414, -78.87503601043329)",DELAWARE,District D,169,1,1002
72241831,03/13/2019,0618P,NO PARKING,40,765,ELMWOOD,765 ELMWOOD,Buffalo,NY,42.91787798556318,-78.87695693657386,"(42.91787798556318, -78.87695693657386)",DELAWARE,District D,169,2,2001
72241832,03/13/2019,0618P,LESS THAN 20 FT FROM CROSSWALK,40,765,ELMWOOD,765 ELMWOOD,Buffalo,NY,42.91787798556318,-78.87695693657386,"(42.91787798556318, -78.87695693657386)",DELAWARE,District D,169,2,2001
72241833,03/13/2019,1114P,NO PARKING,40,3,CLEVELAND WEST,3 CLEVELAND WEST,Buffalo,NY,42.94051789071813,-78.80141053205425,"(42.94051789071813, -78.80141053205425)",UNIVERSITY,District E,44.01,4,4004
72241834,03/13/2019,1125P,NO STANDING,40,35,CLEVELAND WEST,35 CLEVELAND WEST,Buffalo,NY,42.9415386871971,-78.80023669012587,"(42.9415386871971, -78.80023669012587)",UNIVERSITY,District E,44.01,4,4001
72241835,03/13/2019,1129P,NO PARKING,40,83,CLEVELAND WEST,83 CLEVELAND WEST,Buffalo,NY,42.94252746452061,-78.79951538939076,"(42.94252746452061, -78.79951538939076)",UNIVERSITY,District E,44.01,4,4001
72241836,03/13/2019,1130P,NO PARKING,40,83,CLEVELAND WEST,83 CLEVELAND WEST,Buffalo,NY,42.94252746452061,-78.79951538939076,"(42.94252746452061, -78.79951538939076)",UNIVERSITY,District E,44.01,4,4001
72241837,03/13/2019,1130P,NO PARKING,40,83,CLEVELAND WEST,83 CLEVELAND WEST,Buffalo,NY,42.94252746452061,-78.79951538939076,"(42.94252746452061, -78.79951538939076)",UNIVERSITY,District E,44.01,4,4001
72241838,03/13/2019,1131P,NO PARKING,40,83,CLEVELAND WEST,83 CLEVELAND WEST,Buffalo,NY,42.94252746452061,-78.79951538939076,"(42.94252746452061, -78.79951538939076)",UNIVERSITY,District E,44.01,4,4001
72241839,03/13/2019,1137P,ALTERNATE PARKING,40,379,HASTINGS,379 HASTINGS,Buffalo,NY,42.93651113674933,-78.79970982912845,"(42.93651113674933, -78.79970982912845)",UNIVERSITY,District E,44.01,3,3003
42276552,05/20/2019,1105A,NO STANDING,40,533,SEVENTH,533 SEVENTH,Buffalo,NY,42.89923940643592,-78.89178539964122,"(42.89923940643592, -78.89178539964122)",ELLICOTT,District B,70,2,2010
42276554,05/20/2019,1113A,ALTERNATE PARKING,40,427,FARGO,427 FARGO,Buffalo,NY,42.9077746961731,-78.89465617207875,"(42.9077746961731, -78.89465617207875)",NIAGARA,District B,69.01,4,4002
42276555,05/20/2019,1118A,ALTERNATE PARKING,40,170,FARGO,170 FARGO,Buffalo,NY,42.90177321219179,-78.88916360187291,"(42.90177321219179, -78.88916360187291)",NIAGARA,District B,69.02,4,4007
42305566,07/30/2019,0916A,ALTERNATE PARKING,40,47,ST JOHNS PL,47 ST JOHNS PL,Buffalo,NY,42.900624168266766,-78.8819148635492,"(42.900624168266766, -78.8819148635492)",ELLICOTT,District B,68,3,3001
32347309,11/02/2019,1154P,NO STANDING,40,855,ELLICOTT,855 ELLICOTT,Buffalo,NY,42.90153363012086,-78.86676152346789,"(42.90153363012086, -78.86676152346789)",ELLICOTT,District B,31,4,4004
32347496,11/03/2019,1138A,EXPIRED INSPECTION STICKER (ALL),40,76,LA FORCE,76 LA FORCE,Buffalo,NY,42.94752249407354,-78.88987728241466,"(42.94752249407354, -78.88987728241466)",NORTH,District D,56,4,4000
32324665,09/11/2019,1035A,LESS THAN 20 FT FROM CROSSWALK,40,337,WEST,337 WEST,Buffalo,NY,42.9015548596656,-78.88714300549756,"(42.9015548596656, -78.88714300549756)",NIAGARA,District B,69.02,4,4004
42294902,07/02/2019,0954A,ALTERNATE PARKING,40,140,SIXTEENTH,140 SIXTEENTH,Buffalo,NY,42.90786287475378,-78.88495653139816,"(42.90786287475378, -78.88495653139816)",NIAGARA,District B,69.02,1,1000
42285584,06/10/2019,1104A,EXPIRED INSPECTION STICKER (ALL),40,340,PROSPECT,340 PROSPECT,Buffalo,NY,42.897425937287025,-78.88697131243697,"(42.897425937287025, -78.88697131243697)",ELLICOTT,District B,71.01,3,3006
42305570,07/30/2019,0930A,ALTERNATE PARKING,40,50,RIPLEY,50 RIPLEY,Buffalo,NY,42.90930815675974,-78.88316835362963,"(42.90930815675974, -78.88316835362963)",NIAGARA,District B,67.01,2,2002
32429853,07/17/2020,1031A,METER OVERTIME,40,0,ELM50ELMWOOD,ELM50ELMWOOD,Buffalo,NY,,,,,,,,
32389577,01/22/2020,1046A,NO PARKING,40,471,PLYMOUTH,471 PLYMOUTH,Buffalo,NY,42.909667381407466,-78.89311062172396,"(42.909667381407466, -78.89311062172396)",NIAGARA,District B,69.01,4,4000
32397159,02/07/2020,0947A,ALTERNATE PARKING,40,47,NORWOOD,47 NORWOOD,Buffalo,NY,42.906099790159665,-78.88020797873344,"(42.906099790159665, -78.88020797873344)",NIAGARA,District B,67.01,1,1000
38631234,11/02/2007,0747A,"PARKED MORE THAN 12""FROM CURB",30,100,IBIDWELL,100 IBIDWELL,Buffalo,NY,,,,,,,,
32393937,01/30/2020,1106A,NO STANDING,40,350,WEST,350 WEST,Buffalo,NY,42.9017875844136,-78.8875388927342,"(42.9017875844136, -78.8875388927342)",NIAGARA,District B,69.02,4,4003
32397160,02/07/2020,0952A,ALTERNATE PARKING,40,207,HODGE,207 HODGE,Buffalo,NY,42.909935095561714,-78.87762248819364,"(42.909935095561714, -78.87762248819364)",NIAGARA,District B,67.01,3,3000
32347506,11/03/2019,1219P,EXPIRED INSPECTION STICKER (ALL),40,855,ELLICOTT,855 ELLICOTT,Buffalo,NY,42.90153363012086,-78.86676152346789,"(42.90153363012086, -78.86676152346789)",ELLICOTT,District B,31,4,4004
32347902,11/03/2019,0222P,ALTERNATE PARKING,40,198,CLEVELAND,198 CLEVELAND,Buffalo,NY,42.91746015331823,-78.87551882062053,"(42.91746015331823, -78.87551882062053)",DELAWARE,District D,169,2,2002
32347903,11/03/2019,0222P,ALTERNATE PARKING,40,194,CLEVELAND,194 CLEVELAND,Buffalo,NY,42.91745961638863,-78.87546048336857,"(42.91745961638863, -78.87546048336857)",DELAWARE,District D,169,2,2002
32347911,11/03/2019,0303P,NO STANDING,40,16,CAZENOVIA ST,16 CAZENOVIA ST,Buffalo,NY,42.84869308677977,-78.81214613976373,"(42.84869308677977, -78.81214613976373)",SOUTH,District A,9,3,3005
32347918,11/03/2019,0451P,NO STANDING,40,100,LORRAINE,100 LORRAINE,Buffalo,NY,42.84762900848396,-78.81417788884535,"(42.84762900848396, -78.81417788884535)",SOUTH,District A,8,3,3006
38672862,10/31/2007,0940A,METHOD OF PARKING(ALL),35,,PEARL,PEARL,Buffalo,NY,,,,,,,,
42324398,09/11/2019,0946A,ALTERNATE PARKING,40,94,PLYMOUTH,94 PLYMOUTH,Buffalo,NY,42.901040706650136,-78.88517420913213,"(42.901040706650136, -78.88517420913213)",NIAGARA,District B,69.02,2,2002
32347919,11/04/2019,0854A,PARKING WITHOUT CONSENT (ALL),60,265,ELMWOOD,265 ELMWOOD,Buffalo,NY,42.89334199306893,-78.87747662364623,"(42.89334199306893, -78.87747662364623)",ELLICOTT,District B,165,1,1010
H2411871,03/05/2020,0909A,LESS THAN 20 FT FROM CROSSWALK,40,181,PARK,181 PARK,Buffalo,NY,42.90172740333851,-78.87589389199096,"(42.90172740333851, -78.87589389199096)",FILLMORE,District B,68,4,4001
H2411877,03/05/2020,1100A,NO PARKING,40,224,PEACH,224 PEACH,Buffalo,NY,42.90110313934548,-78.85668713455863,"(42.90110313934548, -78.85668713455863)",ELLICOTT,District B,31,3,3008
42294906,07/02/2019,1004A,ALTERNATE PARKING,40,374,RHODE ISLAND,374 RHODE ISLAND,Buffalo,NY,42.91063119970081,-78.88763241045157,"(42.91063119970081, -78.88763241045157)",NIAGARA,District B,69.01,1,1004
42294907,07/02/2019,1004A,EXPIRED INSPECTION STICKER (ALL),40,374,RHODE ISLAND,374 RHODE ISLAND,Buffalo,NY,42.91063119970081,-78.88763241045157,"(42.91063119970081, -78.88763241045157)",NIAGARA,District B,69.01,1,1004
42294908,07/02/2019,1045A,ALTERNATE PARKING,40,46,PLYMOUTH,46 PLYMOUTH,Buffalo,NY,42.89993453576692,-78.88413480381286,"(42.89993453576692, -78.88413480381286)",ELLICOTT,District B,71.01,1,1000
42294909,07/02/2019,1047A,ALTERNATE PARKING,40,303,JERSEY,303 JERSEY,Buffalo,NY,42.901888905423625,-78.88621728499072,"(42.901888905423625, -78.88621728499072)",NIAGARA,District B,69.02,2,2002
42294910,07/02/2019,1107A,NO STANDING,40,78,WEST,78 WEST,Buffalo,NY,42.895517246266145,-78.88163443801044,"(42.895517246266145, -78.88163443801044)",ELLICOTT,District B,71.01,3,3001
42294911,07/02/2019,1108A,PARKED IN HANDICAPPED AREA,110,71,TENTH,71 TENTH,Buffalo,NY,42.895022359174064,-78.88211523674904,"(42.895022359174064, -78.88211523674904)",ELLICOTT,District B,71.01,3,3001
AA006155,03/30/2020,0103A,ONE LICENSE PLATE MISSING (ALL),40,89,GREENWOOD,89 GREENWOOD,Buffalo,NY,42.92249793076246,-78.88875772473014,"(42.92249793076246, -78.88875772473014)",NIAGARA,District D,171,3,3005
42294912,07/02/2019,1110A,ALTERNATE PARKING,40,247,VIRGINIA,247 VIRGINIA,Buffalo,NY,42.89469003878286,-78.88213588348295,"(42.89469003878286, -78.88213588348295)",FILLMORE,District B,71.02,3,3003
32367761,12/13/2019,1020A,ALTERNATE PARKING,40,377,PENNSYLVANIA,377 PENNSYLVANIA,Buffalo,NY,42.90119376843971,-78.88301312212612,"(42.90119376843971, -78.88301312212612)",ELLICOTT,District B,68,3,3001
32367762,12/13/2019,1020A,ALTERNATE PARKING,40,377,PENNSYLVANIA,377 PENNSYLVANIA,Buffalo,NY,42.90119376843971,-78.88301312212612,"(42.90119376843971, -78.88301312212612)",ELLICOTT,District B,68,3,3001
62269274,05/05/2019,0358P,ALTERNATE PARKING,40,198,CLEVELAND AVE,198 CLEVELAND AVE,Buffalo,NY,42.91746015331823,-78.87551882062053,"(42.91746015331823, -78.87551882062053)",DELAWARE,District D,169,2,2002
62269275,05/05/2019,0400P,ALTERNATE PARKING,40,208,CLEVELAND AVE,208 CLEVELAND AVE,Buffalo,NY,42.91746149551218,-78.87566466375416,"(42.91746149551218, -78.87566466375416)",DELAWARE,District D,169,2,2002
62269276,05/05/2019,0401P,ALTERNATE PARKING,40,210,CLEVELAND AVE,210 CLEVELAND AVE,Buffalo,NY,42.917461763928664,-78.87569383238153,"(42.917461763928664, -78.87569383238153)",DELAWARE,District D,169,2,2002
62269639,05/05/2019,0403P,NO STANDING,40,212,CLEVELAND AVE,212 CLEVELAND AVE,Buffalo,NY,42.91746203233772,-78.8757230010091,"(42.91746203233772, -78.8757230010091)",DELAWARE,District D,169,2,2002
62269640,05/05/2019,0405P,ALTERNATE PARKING,40,212,CLEVELAND AVE,212 CLEVELAND AVE,Buffalo,NY,42.91746203233772,-78.8757230010091,"(42.91746203233772, -78.8757230010091)",DELAWARE,District D,169,2,2002
62269651,05/05/2019,0855P,NO PARKING,40,78,NORTH ST EAST,78 NORTH ST EAST,Buffalo,NY,42.90224288768672,-78.86597151264431,"(42.90224288768672, -78.86597151264431)",ELLICOTT,District B,31,4,4003
62269652,05/05/2019,0857P,NO PARKING,40,78,NORTH ST EAST,78 NORTH ST EAST,Buffalo,NY,42.90224288768672,-78.86597151264431,"(42.90224288768672, -78.86597151264431)",ELLICOTT,District B,31,4,4003
62269653,05/05/2019,0906P,ALTERNATE PARKING,40,170,CLEVELAND AVE,170 CLEVELAND AVE,Buffalo,NY,42.91745534104394,-78.87507859383103,"(42.91745534104394, -78.87507859383103)",DELAWARE,District D,169,2,2002
S2285943,06/12/2019,0921A,ALTERNATE PARKING,40,33,AVONDALE,33 AVONDALE,Buffalo,NY,42.86243926730591,-78.81805751135043,"(42.86243926730591, -78.81805751135043)",SOUTH,District A,11,3,3021
S2285944,06/12/2019,0937A,ALTERNATE PARKING,40,86,WOODSIDE,86 WOODSIDE,Buffalo,NY,42.84264956290307,-78.8298048373452,"(42.84264956290307, -78.8298048373452)",SOUTH,District A,1.10,4,4002
S2285945,06/12/2019,0942A,ALTERNATE PARKING,40,72,WOODSIDE,72 WOODSIDE,Buffalo,NY,42.84265415636174,-78.83018842783318,"(42.84265415636174, -78.83018842783318)",SOUTH,District A,1.10,4,4002
S2285946,06/12/2019,0949A,EXPIRED INSPECTION STICKER (ALL),40,47,ALDRICH,47 ALDRICH,Buffalo,NY,42.83285488455921,-78.82236139891602,"(42.83285488455921, -78.82236139891602)",SOUTH,District A,6,4,4008
S2285948,06/12/2019,0953A,ALTERNATE PARKING,40,91,ALDRICH,91 ALDRICH,Buffalo,NY,42.83284991874182,-78.8211541818246,"(42.83284991874182, -78.8211541818246)",SOUTH,District A,6,4,4008
S2285949,06/12/2019,0959A,ALTERNATE PARKING,40,178,RIDGEWOOD,178 RIDGEWOOD,Buffalo,NY,42.83883438680916,-78.8171122910107,"(42.83883438680916, -78.8171122910107)",SOUTH,District A,6,2,2002
S2285950,06/12/2019,1019A,PARKING WITHOUT CONSENT (ALL),60,626,ABBOTT RD,626 ABBOTT RD,Buffalo,NY,42.846888502472076,-78.81043913564908,"(42.846888502472076, -78.81043913564908)",SOUTH,District A,10,3,3007
32347931,11/04/2019,0950A,ALTERNATE PARKING,40,100,SEVENTEENTH,100 SEVENTEENTH,Buffalo,NY,42.908396057550775,-78.88381087926237,"(42.908396057550775, -78.88381087926237)",NIAGARA,District B,67.01,2,2006
32347945,11/04/2019,1033A,ALTERNATE PARKING,40,269,JERSEY,269 JERSEY,Buffalo,NY,42.90134074374897,-78.88731005344628,"(42.90134074374897, -78.88731005344628)",NIAGARA,District B,69.02,2,2003
H2411878,03/05/2020,1118A,LESS THAN 20 FT FROM CROSSWALK,40,266,HIGH,266 HIGH,Buffalo,NY,42.90031710399093,-78.85912827220916,"(42.90031710399093, -78.85912827220916)",ELLICOTT,District B,31,3,3006
32400404,02/11/2020,1020A,LESS THAN 20 FT FROM CROSSWALK,40,36,CALIFORNIA,36 CALIFORNIA,Buffalo,NY,42.91371594359491,-78.89611049433154,"(42.91371594359491, -78.89611049433154)",NIAGARA,District B,61,3,3010
32413477,03/09/2020,0959A,ALTERNATE PARKING,40,232,HIGHLAND,232 HIGHLAND,Buffalo,NY,42.914066915418395,-78.87832770636943,"(42.914066915418395, -78.87832770636943)",NIAGARA,District B,66.01,2,2004
32380596,01/07/2020,0822A,NO PARKING,40,126,OAKLAND,126 OAKLAND,Buffalo,NY,42.907690686774075,-78.87508672163916,"(42.907690686774075, -78.87508672163916)",NIAGARA,District B,67.02,3,3002
32380597,01/07/2020,0844A,PARKED ON SIDEWALK (ALL),40,385,BRYANT,385 BRYANT,Buffalo,NY,42.90900231628249,-78.88136136585358,"(42.90900231628249, -78.88136136585358)",NIAGARA,District B,67.01,3,3002
M2279395,06/03/2019,0402P,BLOCKED DRIVEWAY (ALL),40,60,MOHR ST,60 MOHR ST,Buffalo,NY,42.892871531314164,-78.82721546464157,"(42.892871531314164, -78.82721546464157)",FILLMORE,District C,16,2,2003
M2279396,06/03/2019,0427P,ALTERNATE PARKING,40,355,BAYNES,355 BAYNES,Buffalo,NY,42.925168325411406,-78.88470755619686,"(42.925168325411406, -78.88470755619686)",NIAGARA,District D,63.01,4,4000
32368722,12/13/2019,1031A,EXPIRED INSPECTION STICKER (ALL),40,79,FOURTEENTH,79 FOURTEENTH,Buffalo,NY,42.90355745078521,-78.8840411389071,"(42.90355745078521, -78.8840411389071)",NIAGARA,District B,69.02,1,1009
32368723,12/13/2019,1033A,PARKED LESS THAN 15 FT - FIRE HYDRANT,60,389,CONNECTICUT,389 CONNECTICUT,Buffalo,NY,42.90632708081509,-78.88660326697902,"(42.90632708081509, -78.88660326697902)",NIAGARA,District B,69.02,1,1004
42306477,07/31/2019,0115P,NO PARKING,40,865,ELLICOTT,865 ELLICOTT,Buffalo,NY,42.901738743585604,-78.86668782377839,"(42.901738743585604, -78.86668782377839)",ELLICOTT,District B,31,4,4004
42306478,07/31/2019,0125P,METER OVERTIME,40,120,NORTH ST EAST,120 NORTH ST EAST,Buffalo,NY,42.90222458932508,-78.86438156936607,"(42.90222458932508, -78.86438156936607)",ELLICOTT,District B,31,4,4002
82301665,08/01/2019,0551P,NO STANDING,40,466,WASHINGTON,466 WASHINGTON,Buffalo,NY,42.886789583478595,-78.87301002972086,"(42.886789583478595, -78.87301002972086)",ELLICOTT,District B,165,1,1046
S2285951,06/12/2019,1021A,PARKING WITHOUT CONSENT (ALL),60,626,ABBOTT RD,626 ABBOTT RD,Buffalo,NY,42.846888502472076,-78.81043913564908,"(42.846888502472076, -78.81043913564908)",SOUTH,District A,10,3,3007
S2285952,06/12/2019,1023A,PARKING WITHOUT CONSENT (ALL),60,626,ABBOTT RD,626 ABBOTT RD,Buffalo,NY,42.846888502472076,-78.81043913564908,"(42.846888502472076, -78.81043913564908)",SOUTH,District A,10,3,3007
S2286653,06/12/2019,1056A,ALTERNATE PARKING,40,50,WEISS,50 WEISS,Buffalo,NY,42.86815791942955,-78.80883508029441,"(42.86815791942955, -78.80883508029441)",LOVEJOY,District A,19,1,1003
42328652,09/19/2019,0108P,NO PARKING,40,61,PROSPECT,61 PROSPECT,Buffalo,NY,42.891650840002185,-78.88137045494612,"(42.891650840002185, -78.88137045494612)",FILLMORE,District B,71.02,2,2004
42328655,09/19/2019,0226P,LESS THAN 20 FT FROM CROSSWALK,40,54,MOORE ST,54 MOORE ST,Buffalo,NY,42.87206612776812,-78.87011981226247,"(42.87206612776812, -78.87011981226247)",FILLMORE,District A,164,1,1013
32348710,11/04/2019,1038A,EXPIRED INSPECTION STICKER (ALL),40,269,VIRGINIA,269 VIRGINIA,Buffalo,NY,42.89507708557689,-78.88137677110053,"(42.89507708557689, -78.88137677110053)",FILLMORE,District B,71.02,3,3002
32348715,11/04/2019,1119A,EXPIRED REGISTRATION STICKER,40,26,FARGO,26 FARGO,Buffalo,NY,42.89849531265372,-78.88608409047774,"(42.89849531265372, -78.88608409047774)",ELLICOTT,District B,71.01,3,3005
32348716,11/04/2019,1120A,EXPIRED INSPECTION STICKER (ALL),40,26,FARGO,26 FARGO,Buffalo,NY,42.89849531265372,-78.88608409047774,"(42.89849531265372, -78.88608409047774)",ELLICOTT,District B,71.01,3,3005
32348719,11/04/2019,1221P,NO PARKING,40,968,ELLICOTT,968 ELLICOTT,Buffalo,NY,42.904418396154526,-78.86601686970216,"(42.904418396154526, -78.86601686970216)",ELLICOTT,District B,168,2,2015
32400405,02/11/2020,1022A,LESS THAN 20 FT FROM CROSSWALK,40,38,BARTON,38 BARTON,Buffalo,NY,42.9139096126071,-78.8948310181825,"(42.9139096126071, -78.8948310181825)",NIAGARA,District B,61,3,3010
32400693,02/11/2020,1024A,ALTERNATE PARKING,40,454,NORMAL,454 NORMAL,Buffalo,NY,42.91159830113027,-78.89344656390936,"(42.91159830113027, -78.89344656390936)",NIAGARA,District B,69.01,3,3008
82301659,07/25/2019,0842P,ALTERNATE PARKING,40,101,WELLINGTON,101 WELLINGTON,Buffalo,NY,42.94718108882739,-78.85140723211464,"(42.94718108882739, -78.85140723211464)",DELAWARE,District D,48,1,1004
32380599,01/07/2020,0920A,ALTERNATE PARKING,40,249,CAROLINA,249 CAROLINA,Buffalo,NY,42.89318766288276,-78.88049621064012,"(42.89318766288276, -78.88049621064012)",FILLMORE,District B,71.02,2,2002
32380600,01/07/2020,0922A,ALTERNATE PARKING,40,279,TUPPER WEST,279 TUPPER WEST,Buffalo,NY,42.89650847854566,-78.8807365209337,"(42.89650847854566, -78.8807365209337)",FILLMORE,District B,68,3,3011
62281231,06/03/2019,0156P,ALTERNATE PARKING,40,47,SOBIESKI,47 SOBIESKI,Buffalo,NY,42.8956285831502,-78.83262972396932,"(42.8956285831502, -78.83262972396932)",FILLMORE,District C,27.02,3,3008
62281232,06/03/2019,0259P,NO PARKING,40,78,NORTH ST EAST,78 NORTH ST EAST,Buffalo,NY,42.90224288768672,-78.86597151264431,"(42.90224288768672, -78.86597151264431)",ELLICOTT,District B,31,4,4003
62281241,06/03/2019,0636P,ALTERNATE PARKING,40,168,HERMAN,168 HERMAN,Buffalo,NY,42.896663611558616,-78.84465654617821,"(42.896663611558616, -78.84465654617821)",FILLMORE,District C,166,3,3004
62281242,06/03/2019,0638P,ALTERNATE PARKING,40,172,HERMAN,172 HERMAN,Buffalo,NY,42.89677748894571,-78.84465751768897,"(42.89677748894571, -78.84465751768897)",FILLMORE,District C,166,3,3004
62281243,06/03/2019,0643P,ALTERNATE PARKING,40,390,GUILFORD,390 GUILFORD,Buffalo,NY,42.901962759845674,-78.84362481445535,"(42.901962759845674, -78.84362481445535)",FILLMORE,District C,166,3,3001
82301666,08/01/2019,0552P,NO STANDING,40,466,WASHINGTON,466 WASHINGTON,Buffalo,NY,42.886789583478595,-78.87301002972086,"(42.886789583478595, -78.87301002972086)",ELLICOTT,District B,165,1,1046
