Ticket Issue Date,Issue Time,Meter,Violation Description,Location,Department
05/14/2019,14:11,MASS-0997,METER EXP,"1007 MASS AVE
Cambridge, MA
(42.36958299400004, -71.11130496099997)",Traffic & Parking
05/25/2019,12:32,CAMB-1348,METER EXP,"1348 CAMBRIDGE ST
Cambridge, MA
(42.373397011000066, -71.09982996799994)",Traffic & Parking
05/31/2019,13:16,,LOADING ZN,"157 SIXTH ST
Cambridge, MA
(42.36669098600004, -71.08700800299994)",Traffic & Parking
05/30/2019,13:29,HOL-0021,METER EXP,"25 HOLYOKE ST
Cambridge, MA
(42.371874984000044, -71.11903600899996)",Traffic & Parking
05/22/2019,16:47,CAMB-1729,METER EXP,"1727 CAMBRIDGE ST
Cambridge, MA
(42.37553100200006, -71.11284102799993)",Traffic & Parking
05/20/2019,10:25,BWAY-0194,O/T TIME,"196 BROADWAY
Cambridge, MA
(42.36556898400005, -71.09260702999995)",Traffic & Parking
05/03/2019,07:46,,RESIDENT P,"OPP 110 AMORY ST
Cambridge, MA
(42.37186601500008, -71.10024998499995)",Traffic & Parking
05/01/2019,13:53,MASS-0940,METER EXP,"950 MASS AVE
Cambridge, MA
(42.36851099100005, -71.11015404199998)",Traffic & Parking
06/06/2019,15:19,,RESIDENT P,"11 COPLEY ST
Cambridge, MA
(42.38477200800003, -71.13385596799998)",Traffic & Parking
05/07/2019,10:53,BNTT-0008,METER EXP,"6 BENNETT ST
Cambridge, MA
(42.372894013000064, -71.12299402799994)",Traffic & Parking
06/10/2019,14:39,,METER EXP,"166 FIFTH ST
Cambridge, MA
(42.36812098100006, -71.08377401299998)",Traffic & Parking
05/01/2019,13:08,MASS-1835,METER EXP,"1853 MASS AVE
Cambridge, MA
(42.38782398500007, -71.11903600899996)",Traffic & Parking
06/10/2019,15:35,,LOADING ZN,"27 GARDEN ST
Cambridge, MA
(42.37860100000006, -71.12343801699996)",Traffic & Parking
06/03/2019,08:02,,RESIDENT P,"OPP 200 CHARLES ST
Cambridge, MA
(42.36795900000004, -71.08429301999996)",Traffic & Parking
05/10/2019,11:54,,RESIDENT P,"91 CHARLES ST
Cambridge, MA
(42.367708004000065, -71.08067497199994)",Traffic & Parking
05/16/2019,11:50,QUI-0021,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
05/03/2019,14:49,MASS-1143,METER EXP,"1151 MASS AVE
Cambridge, MA
(42.371665017000055, -71.11426402399997)",Traffic & Parking
06/06/2019,13:04,,RESIDENT P,"39 MARTIN ST
Cambridge, MA
(42.38310199800003, -71.12130297899995)",Traffic & Parking
06/07/2019,13:46,MASS-1685,METER EXP,"1687 MASS AVE
Cambridge, MA
(42.382802010000034, -71.11935301299997)",Traffic & Parking
05/03/2019,16:46,GARD-0034,METER EXP,"8 GARDEN ST
Cambridge, MA
(42.37599401800003, -71.12188996299994)",Traffic & Parking
06/08/2019,15:56,CAMB-0561,METER EXP,"563 CAMBRIDGE ST
Cambridge, MA
(42.37194300300007, -71.08559799899996)",Traffic & Parking
05/16/2019,18:53,VAS-0051,METER EXP,"59 VASSAR ST
Cambridge, MA
(42.36103600900003, -71.09361797199995)",Traffic & Parking
05/29/2019,13:55,MTA-0065,METER EXP,"57 MT AUBURN ST
Cambridge, MA
(42.37157600100005, -71.11722400899998)",Traffic & Parking
05/03/2019,09:53,BOW-0018,O/T TIME,"40 BOW ST
Cambridge, MA
(42.37146498300007, -71.11685595999995)",Traffic & Parking
05/24/2019,09:20,,RESIDENT P,"55 PINE ST
Cambridge, MA
(42.365002996000044, -71.09813003399995)",Traffic & Parking
06/04/2019,19:17,MTA-0108,METER EXP,"124 MT AUBURN ST
Cambridge, MA
(42.37316998800003, -71.12336501099998)",Traffic & Parking
06/05/2019,09:18,,STREET CLE,"67 OTIS ST
Cambridge, MA
(42.370572981000066, -71.08070497899996)",Police
05/06/2019,15:13,MTA-0087,METER EXP,"65 MT AUBURN ST
Cambridge, MA
(42.372032982000064, -71.11806597099996)",Traffic & Parking
05/31/2019,08:20,MASS-1701,O/T TIME,"1705 MASS AVE
Cambridge, MA
(42.38331598800005, -71.11918403399994)",Traffic & Parking
06/12/2019,09:49,HAMP-0041,METER EXP,"41 HAMPSHIRE ST
Cambridge, MA
(42.36684098000006, -71.09201099299997)",Traffic & Parking
05/20/2019,09:54,FRST-0223,METER EXP,"215 FIRST ST
Cambridge, MA
(42.364304993000076, -71.07921702399995)",Traffic & Parking
05/02/2019,13:19,FRST-0071,METER EXP,"73 FIRST ST
Cambridge, MA
(42.368463004000034, -71.07779402799997)",Traffic & Parking
05/17/2019,09:26,CAMB-1264,METER EXP,"1280 CAMBRIDGE ST
Cambridge, MA
(42.373239013000045, -71.09887199999997)",Traffic & Parking
05/16/2019,15:09,,RESIDENT P,"OPP 297 BROADWAY
Cambridge, MA
(42.36887799200008, -71.09936703499994)",Traffic & Parking
06/01/2019,16:00,ARR-0020,METER EXP,"14 ARROW ST
Cambridge, MA
(42.37089400800005, -71.11489400799996)",Traffic & Parking
05/28/2019,13:22,CAMB-1000,METER EXP,"1000 CAMBRIDGE ST
Cambridge, MA
(42.37265299200004, -71.09357899599996)",Traffic & Parking
05/08/2019,17:03,BRAT-0096,METER EXP,"76 BRATTLE ST
Cambridge, MA
(42.375181980000036, -71.12444501899995)",Traffic & Parking
05/03/2019,13:11,JFK-0044,METER EXP,"58 JFK ST
Cambridge, MA
(42.371744980000074, -71.12046403399995)",Traffic & Parking
05/14/2019,16:48,,RESIDENT P,"109 MONTGOMERY ST
Cambridge, MA
(42.39662598900003, -71.13308298899994)",Traffic & Parking
05/16/2019,13:28,,RESIDENT P,"44 COGSWELL AVE
Cambridge, MA
(42.389810999000076, -71.12580598899996)",Traffic & Parking
05/07/2019,08:54,BWAY-0203,METER EXP,"201 BROADWAY
Cambridge, MA
(42.36609800800005, -71.09246696899999)",Traffic & Parking
05/22/2019,08:39,BRAT-0034,METER EXP,"40 BRATTLE ST
Cambridge, MA
(42.37354000700003, -71.12150498299997)",Traffic & Parking
05/06/2019,13:34,BOW-0024,METER EXP,"40 BOW ST
Cambridge, MA
(42.37146498300007, -71.11685595999995)",Traffic & Parking
05/29/2019,09:16,,STREET CLE,"42 BOWDOIN ST
Cambridge, MA
(42.38397300400004, -71.12152501499997)",Police
05/09/2019,14:17,,NO STOPPIN,"285 THIRD ST
Cambridge, MA
(42.365060999000036, -71.08371198699996)",Traffic & Parking
05/08/2019,10:27,,NO PARKING,"17 STORY ST
Cambridge, MA
(42.373814011000036, -71.12314196799997)",Traffic & Parking
06/01/2019,15:53,MTA-0116,METER EXP,"130 MT AUBURN ST
Cambridge, MA
(42.373003020000056, -71.12425500099994)",Traffic & Parking
05/11/2019,16:45,CAMB-1005,METER EXP,"1035 CAMBRIDGE ST
Cambridge, MA
(42.37352001600004, -71.09349098599995)",Traffic & Parking
05/14/2019,19:14,MASS-0175,METER EXP,"181 MASS AVE
Cambridge, MA
(42.361047995000035, -71.09588795899998)",Traffic & Parking
06/10/2019,13:18,,RESIDENT P,"5 HUBBARD PARK RD
Cambridge, MA
(42.377014012000075, -71.13096496599996)",Traffic & Parking
05/22/2019,16:15,,RESIDENT P,"41 PRINCE ST
Cambridge, MA
(42.36088999700007, -71.11050800899994)",Traffic & Parking
05/20/2019,09:09,MASS-1734,METER EXP,"1734 MASS AVE
Cambridge, MA
(42.38430999800005, -71.11992599999996)",Traffic & Parking
05/23/2019,18:55,MASS-0862,METER EXP,"858 MASS AVE
Cambridge, MA
(42.36709600000006, -71.10736798099998)",Traffic & Parking
06/07/2019,11:37,MASS-1642,METER EXP,"1644 MASS AVE
Cambridge, MA
(42.38118501500003, -71.12006203799996)",Traffic & Parking
06/06/2019,13:27,HOL-0031,METER EXP,"25 HOLYOKE ST
Cambridge, MA
(42.371874984000044, -71.11903600899996)",Traffic & Parking
05/16/2019,09:52,,RESIDENT P,"12 DOUGLASS ST
Cambridge, MA
(42.36451547400003, -71.10045229999997)",Traffic & Parking
05/22/2019,14:15,FRST-0153,METER EXP,"159 FIRST ST
Cambridge, MA
(42.36608698600003, -71.07847103399996)",Traffic & Parking
06/07/2019,09:19,,STREET CLE,"15 PERRY ST
Cambridge, MA
(42.36214799500004, -71.10662299699999)",Police
05/08/2019,17:15,FRST-0145,METER EXP,"145 FIRST ST
Cambridge, MA
(42.36638999200005, -71.07818596599998)",Traffic & Parking
05/09/2019,13:30,BINY-0070,METER EXP,"60 BINNEY ST
Cambridge, MA
(42.36491901000005, -71.07912297899998)",Traffic & Parking
06/06/2019,12:01,MASS-0940,METER EXP,"950 MASS AVE
Cambridge, MA
(42.36851099100005, -71.11015404199998)",Traffic & Parking
06/11/2019,12:51,,RESIDENT P,"66 BERKSHIRE ST
Cambridge, MA
(42.36990100300005, -71.09089200899996)",Traffic & Parking
05/03/2019,08:39,,STREET CLE,"103 AUBURN ST
Cambridge, MA
(42.36259299000005, -71.10311399699998)",Police
05/06/2019,08:46,,RESIDENT P,"22 FRANCIS AVE
Cambridge, MA
(42.37869999000003, -71.11174802799997)",Traffic & Parking
05/31/2019,11:02,CAMB-1262,METER EXP,"1260 CAMBRIDGE ST
Cambridge, MA
(42.37327798800004, -71.09844896499999)",Traffic & Parking
06/10/2019,14:06,,HYDRANT WI,"64 DANA ST
Cambridge, MA
(42.37333900900006, -71.10765698899996)",Traffic & Parking
05/23/2019,13:51,ARR-0018,METER EXP,"14 ARROW ST
Cambridge, MA
(42.37089400800005, -71.11489400799996)",Traffic & Parking
05/24/2019,08:52,MASS-1278,O/T TIME,"1290 MASS AVE
Cambridge, MA
(42.372581997000054, -71.11697699499996)",Traffic & Parking
05/17/2019,10:05,OXF-0075,O/T TIME,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
06/11/2019,14:17,MASS-0318,O/T TIME,"296 MASS AVE
Cambridge, MA
(42.361973986000066, -71.09850503999996)",Traffic & Parking
05/31/2019,14:31,MASS-1648,METER EXP,"1648 MASS AVE
Cambridge, MA
(42.38135898100006, -71.12019799199999)",Traffic & Parking
05/17/2019,16:51,MASS-1667,METER EXP,"1667 MASS AVE
Cambridge, MA
(42.38207898700006, -71.11936700999996)",Traffic & Parking
06/06/2019,15:06,HURO-0170,METER EXP,"*173 HURON AVE
Cambridge, MA
(42.382227011000055, -71.13171196099995)",Traffic & Parking
06/06/2019,20:59,,NO STOPPIN,"287 THIRD ST
Cambridge, MA
(42.365060999000036, -71.08371198699996)",Police
05/14/2019,12:21,MASS-1071,METER EXP,"1105 MASS AVE
Cambridge, MA
(42.37072800400006, -71.11340496299994)",Traffic & Parking
05/01/2019,13:23,CAMB-1421,METER EXP,"1423 CAMBRIDGE ST
Cambridge, MA
(42.37401798500008, -71.10175797299996)",Traffic & Parking
05/02/2019,09:59,,STREET CLE,"84 HAMPSHIRE ST
Cambridge, MA
(42.36813699000004, -71.09429799499998)",Police
05/13/2019,12:35,,HHP/VETS,"42 BRATTLE ST
Cambridge, MA
(42.37366498100005, -71.12162400599993)",Traffic & Parking
06/05/2019,19:23,BRAT-0077,METER EXP,"77 BRATTLE ST
Cambridge, MA
(42.375543994000054, -71.12285103199997)",Traffic & Parking
05/01/2019,10:07,,HHP/VETS,"126 THORNDIKE ST
Cambridge, MA
(42.369985996000025, -71.08388197199997)",Traffic & Parking
05/09/2019,11:41,CAMB-1343,METER EXP,"1343 CAMBRIDGE ST
Cambridge, MA
(42.373760996000044, -71.09987103899994)",Traffic & Parking
06/10/2019,10:29,HAMP-0052,METER EXP,"50 HAMPSHIRE ST
Cambridge, MA
(42.366821995000066, -71.09276402299997)",Traffic & Parking
06/05/2019,10:01,MASS-1808,METER EXP,"1808 MASS AVE
Cambridge, MA
(42.386845985000036, -71.11967999099994)",Traffic & Parking
05/09/2019,13:17,JFK-0038,O/T TIME,"54 JFK ST
Cambridge, MA
(42.37189300500006, -71.12042002899994)",Traffic & Parking
05/06/2019,15:14,CAMB-0567,METER EXP,"599 CAMBRIDGE ST
Cambridge, MA
(42.372055991000025, -71.08606897799996)",Traffic & Parking
06/12/2019,08:22,PLY-0030,METER EXP,"58 PLYMPTON ST
Cambridge, MA
(42.37070901900006, -71.11663199499998)",Traffic & Parking
06/04/2019,16:55,BRAT-0095,METER EXP,"85 BRATTLE ST
Cambridge, MA
(42.375986014000034, -71.12403598199995)",Traffic & Parking
06/06/2019,19:15,QUI-0051,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
05/10/2019,08:40,,STREET CLE,"OPP 11 BLACKSTONE ST
Cambridge, MA
(42.36261801000006, -71.11432403799995)",Police
06/12/2019,13:38,MTA-0031,METER EXP,"29 MT AUBURN ST
Cambridge, MA
(42.370983987000045, -71.11540597399994)",Traffic & Parking
05/24/2019,08:29,LAND-0041,METER EXP,"65 LANDSDOWNE ST
Cambridge, MA
(42.36061901000005, -71.10080696199998)",Traffic & Parking
05/17/2019,11:54,,RESIDENT P,"85 MUSEUM ST
Cambridge, MA
(42.381392006000056, -71.11258403899996)",Traffic & Parking
05/10/2019,14:49,ALB-0072,METER EXP,"68 ALBANY ST
Cambridge, MA
(42.360966020000035, -71.09516895899998)",Traffic & Parking
05/10/2019,11:46,MTA-0093,METER EXP,"71 MT AUBURN ST
Cambridge, MA
(42.37203998100006, -71.11827903899996)",Traffic & Parking
05/20/2019,10:49,MASS-0552,METER EXP,"546 MASS AVE
Cambridge, MA
(42.364302018000046, -71.10244797099995)",Traffic & Parking
05/13/2019,17:27,VAS-0035,METER EXP,"51 VASSAR ST
Cambridge, MA
(42.36161302000005, -71.09245900599996)",Traffic & Parking
05/17/2019,12:45,MASS-0322,METER EXP,"296 MASS AVE
Cambridge, MA
(42.361973986000066, -71.09850503999996)",Traffic & Parking
05/02/2019,13:22,BWAY-0206,O/T TIME,"200 BROADWAY
Cambridge, MA
(42.36583100300004, -71.09300500299997)",Traffic & Parking
05/20/2019,11:58,CAMB-1060,METER EXP,"1058 CAMBRIDGE ST
Cambridge, MA
(42.37278500700006, -71.09491800499995)",Traffic & Parking
05/24/2019,19:07,,RESIDENT P,"28 REGENT ST
Cambridge, MA
(42.38971498400008, -71.12198099099999)",Traffic & Parking
05/07/2019,08:33,,RESIDENT P,"7 WILLARD ST
Cambridge, MA
(42.376406995000025, -71.12812098599994)",Traffic & Parking
05/14/2019,14:02,CAMB-1157,METER EXP,"1167 CAMBRIDGE ST
Cambridge, MA
(42.37335900000005, -71.09676596299994)",Traffic & Parking
05/13/2019,10:08,MASS-0241,O/T TIME,"259 MASS AVE
Cambridge, MA
(42.36176900700008, -71.09714800999996)",Traffic & Parking
06/11/2019,10:55,BAD-0131,METER EXP,"* 130 BISHOP ALLEN DR
Cambridge, MA
(42.366554577000045, -71.10364353199998)",Traffic & Parking
06/08/2019,18:05,MASS-1627,METER EXP,"1627 MASS AVE
Cambridge, MA
(42.38066701300005, -71.11949500199995)",Traffic & Parking
06/06/2019,13:52,,RESIDENT P,"33 WEBSTER AVE
Cambridge, MA
(42.36758898100004, -71.09241701199994)",Traffic & Parking
05/20/2019,12:41,,LOADING ZN,"1267 CAMBRIDGE ST
Cambridge, MA
(42.373585981000076, -71.09840998899995)",Traffic & Parking
06/06/2019,09:37,,STREET CLE,"58 SIXTH ST
Cambridge, MA
(42.36987900100007, -71.08504303299998)",Police
05/09/2019,13:32,,RESIDENT P,"OPP 126 HAMILTON ST
Cambridge, MA
(42.358818996000025, -71.10733596199998)",Traffic & Parking
05/24/2019,15:37,THRD-0291,METER EXP,"289 THIRD ST
Cambridge, MA
(42.365060999000036, -71.08371198699996)",Traffic & Parking
06/11/2019,14:23,,NO STAND,"* 1280 MASS AVE
Cambridge, MA
(42.372581997000054, -71.11697699499996)",Traffic & Parking
05/23/2019,14:04,BRAT-0096,METER EXP,"76 BRATTLE ST
Cambridge, MA
(42.375181980000036, -71.12444501899995)",Traffic & Parking
05/07/2019,19:14,MASS-0239,METER EXP,"259 MASS AVE
Cambridge, MA
(42.36176900700008, -71.09714800999996)",Traffic & Parking
05/01/2019,14:18,JFK-0033,METER EXP,"57 JFK ST
Cambridge, MA
(42.37212698600007, -71.12089201399993)",Traffic & Parking
05/17/2019,12:45,,HYDRANT WI,"1572 MASS AVE
Cambridge, MA
(42.37900701900003, -71.12064902299994)",Traffic & Parking
05/15/2019,11:11,,RESIDENT P,"21 CHAUNCY ST
Cambridge, MA
(42.37965200700006, -71.12300400199996)",Traffic & Parking
05/07/2019,08:52,,STREET CLE,"140 HARVARD ST
Cambridge, MA
(42.365292004000025, -71.09477098599996)",Police
05/28/2019,13:19,BOW-0019,METER EXP,"11 BOW ST
Cambridge, MA
(42.37170558100007, -71.11564725299996)",Traffic & Parking
06/08/2019,17:41,FRST-0112,METER EXP,"*115 FIRST ST
Cambridge, MA
(42.36707198500005, -71.07798102799995)",Traffic & Parking
06/10/2019,16:42,,RESIDENT P,"OPP 81 DANA ST
Cambridge, MA
(42.37441101200005, -71.10739899399994)",Traffic & Parking
05/20/2019,16:08,MASS-1012,METER EXP,"1008 MASS AVE
Cambridge, MA
(42.36900799600005, -71.11144602799999)",Traffic & Parking
05/13/2019,10:06,,STREET CLE,"60 ALLSTON ST
Cambridge, MA
(42.357299986000044, -71.10622795799998)",Police
05/02/2019,13:02,,RESIDENT P,"OPP 62 PORTER RD
Cambridge, MA
(42.38955300400005, -71.12156399099996)",Traffic & Parking
06/10/2019,16:28,BWAY-0200,METER EXP,"200 BROADWAY
Cambridge, MA
(42.36583100300004, -71.09300500299997)",Traffic & Parking
06/11/2019,17:36,MASS-1669,METER EXP,"1667 MASS AVE
Cambridge, MA
(42.38207898700006, -71.11936700999996)",Traffic & Parking
05/03/2019,15:46,MAIN-0638,METER EXP,"610 MAIN ST
Cambridge, MA
(42.362619979000044, -71.09435800999995)",Traffic & Parking
05/04/2019,10:56,MASS-0239,METER EXP,"259 MASS AVE
Cambridge, MA
(42.36176900700008, -71.09714800999996)",Traffic & Parking
05/01/2019,15:09,,RESIDENT P,"21 FOSTER ST
Cambridge, MA
(42.375856010000064, -71.12865801499998)",Traffic & Parking
05/04/2019,17:23,MASS-0497,METER EXP,"505 MASS AVE
Cambridge, MA
(42.364381981000065, -71.10144398699998)",Traffic & Parking
06/01/2019,16:34,HAMP-0192,METER EXP,"192 HAMPSHIRE ST
Cambridge, MA
(42.37277700200008, -71.09994899099996)",Traffic & Parking
05/16/2019,14:37,,STORAGE,"125 FAWCETT ST
Cambridge, MA
(42.39282299400003, -71.14739701699995)",Traffic & Parking
05/01/2019,18:59,QUI-0015,METER EXP,"17 QUINCY ST
Cambridge, MA
(42.37349298400005, -71.11530597799998)",Traffic & Parking
05/07/2019,13:37,JFK-0040,O/T TIME,"56 JFK ST
Cambridge, MA
(42.371744980000074, -71.12046403399995)",Traffic & Parking
05/18/2019,13:59,MASS-0237,METER EXP,"259 MASS AVE
Cambridge, MA
(42.36176900700008, -71.09714800999996)",Traffic & Parking
06/04/2019,18:44,ARR-0012,METER EXP,"12 ARROW ST
Cambridge, MA
(42.37089400800005, -71.11489400799996)",Traffic & Parking
05/10/2019,08:37,ALB-0162,METER EXP,"190 ALBANY ST
Cambridge, MA
(42.35899501600005, -71.09928195899994)",Traffic & Parking
06/08/2019,15:31,ALB-0128,METER EXP,"166 ALBANY ST
Cambridge, MA
(42.35969201300003, -71.09774999799998)",Traffic & Parking
05/11/2019,14:33,FRST-0061,METER EXP,"69 FIRST ST
Cambridge, MA
(42.368650666000065, -71.07746196199997)",Traffic & Parking
05/16/2019,08:46,BRAT-0052,METER EXP,"60 BRATTLE ST
Cambridge, MA
(42.37460798700005, -71.12236102599996)",Traffic & Parking
05/04/2019,19:43,ARR-0004,METER EXP,"2 ARROW ST
Cambridge, MA
(42.370800005000035, -71.11453702299997)",Traffic & Parking
05/13/2019,10:26,MTA-0019,METER EXP,"15 MT AUBURN ST
Cambridge, MA
(42.370800005000035, -71.11453702299997)",Traffic & Parking
05/30/2019,10:33,MASS-1102,METER EXP,"1100 MASS AVE
Cambridge, MA
(42.37040299600005, -71.11374903999996)",Traffic & Parking
05/24/2019,11:53,BAD-0126,METER EXP,"130 BISHOP ALLEN DR
Cambridge, MA
(42.366554577000045, -71.10364353199998)",Traffic & Parking
06/11/2019,14:29,THRD-0111,METER EXP,"121 THIRD ST
Cambridge, MA
(42.369356012000026, -71.08062199799997)",Traffic & Parking
06/10/2019,12:03,BRAT-0065,METER EXP,"69 BRATTLE ST
Cambridge, MA
(42.375232984000036, -71.12256797499998)",Traffic & Parking
05/14/2019,12:51,MASS-0324,METER EXP,"296 MASS AVE
Cambridge, MA
(42.361973986000066, -71.09850503999996)",Traffic & Parking
05/24/2019,09:34,MASS-0169,O/T TIME,"1558 MASS AVE
Cambridge, MA
(42.37846600900008, -71.12073602699996)",Traffic & Parking
05/23/2019,13:05,,NO STOPPIN,"OPP 3 AMES ST
Cambridge, MA
(42.36040799500006, -71.08809798499993)",Traffic & Parking
05/13/2019,18:38,MAIN-0606,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/20/2019,08:46,CAMB-1627,METER EXP,"1627 CAMBRIDGE ST
Cambridge, MA
(42.37496400800006, -71.10916296499994)",Traffic & Parking
05/24/2019,14:12,MASS-1040,METER EXP,"1030 MASS AVE
Cambridge, MA
(42.36945898400006, -71.11232302699995)",Traffic & Parking
05/15/2019,10:30,THDK-0019,METER EXP,"25 THORNDIKE ST
Cambridge, MA
(42.36951099400005, -71.07801103499997)",Traffic & Parking
06/10/2019,14:31,CAMB-1415,METER EXP,"1423 CAMBRIDGE ST
Cambridge, MA
(42.37401798500008, -71.10175797299996)",Traffic & Parking
05/23/2019,14:18,,RESIDENT P,"42 AMORY ST
Cambridge, MA
(42.37050001600005, -71.10123301399994)",Traffic & Parking
05/03/2019,10:40,,STREET CLE,"125 BROOKLINE ST
Cambridge, MA
(42.361021006000044, -71.10473103399994)",Police
06/06/2019,08:28,,RESIDENT P,"634 GREEN ST
Cambridge, MA
(42.368707001000075, -71.11236703199995)",Traffic & Parking
05/02/2019,10:34,MAIN-0604,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/03/2019,14:21,,RESIDENT P,"19 HUNTING ST
Cambridge, MA
(42.37326298500005, -71.09119995999998)",Traffic & Parking
05/15/2019,18:42,,DOUBLE STO,"743 MASS AVE
Cambridge, MA
(42.36649698700006, -71.10501300099997)",Police
05/30/2019,08:39,,RESIDENT P,"550 GREEN ST
Cambridge, MA
(42.36787501400005, -71.10994700899994)",Traffic & Parking
05/22/2019,08:19,ALB-0080,METER EXP,"68 ALBANY ST
Cambridge, MA
(42.360966020000035, -71.09516895899998)",Traffic & Parking
05/11/2019,16:36,MAIN-0638,O/T TIME,"610 MAIN ST
Cambridge, MA
(42.362619979000044, -71.09435800999995)",Traffic & Parking
06/04/2019,19:11,HAMP-0032,METER EXP,"36 HAMPSHIRE ST
Cambridge, MA
(42.36625198400003, -71.09207503099998)",Traffic & Parking
05/15/2019,13:17,,LOADING ZN,"165 CAMBRIDGEPARK DR
Cambridge, MA
(42.39552200900005, -71.14763900199995)",Traffic & Parking
05/30/2019,19:06,MAIN-0461,METER EXP,"415 MAIN ST
Cambridge, MA
(42.362965021000036, -71.08865999199998)",Traffic & Parking
06/05/2019,11:36,HOL-0004,METER EXP,"8 HOLYOKE ST
Cambridge, MA
(42.372693979000076, -71.11796798699999)",Traffic & Parking
05/21/2019,10:35,MASS-1300,METER EXP,"1304 MASS AVE
Cambridge, MA
(42.37277499000004, -71.11749700799999)",Traffic & Parking
05/13/2019,13:34,CAMB-1303,METER EXP,"1305 CAMBRIDGE ST
Cambridge, MA
(42.37372998300003, -71.09936301199997)",Traffic & Parking
06/11/2019,14:04,MASS-1590,METER EXP,"1580 MASS AVE
Cambridge, MA
(42.379243012000074, -71.12056998099996)",Traffic & Parking
05/23/2019,14:27,,RESIDENT P,"383 BROADWAY
Cambridge, MA
(42.37141599100005, -71.10575496699994)",Traffic & Parking
05/03/2019,13:32,,RESIDENT P,"110 THORNDIKE ST
Cambridge, MA
(42.36980800600003, -71.08296197399994)",Traffic & Parking
06/10/2019,12:38,VAS-0185,METER EXP,"201 VASSAR ST
Cambridge, MA
(42.35810498400008, -71.09954498299999)",Traffic & Parking
05/13/2019,10:57,HOL-0016,METER EXP,"22 HOLYOKE ST
Cambridge, MA
(42.37223699800006, -71.11825397799998)",Traffic & Parking
05/09/2019,14:42,,RESIDENT P,"89 THIRD ST
Cambridge, MA
(42.370090979000054, -71.08031597499996)",Traffic & Parking
05/20/2019,11:16,SID-0062,METER EXP,"64 SIDNEY ST
Cambridge, MA
(42.36092599700004, -71.10131498899995)",Traffic & Parking
05/04/2019,17:02,CAMB-0740,METER EXP,"722 CAMBRIDGE ST
Cambridge, MA
(42.37201999100006, -71.08870801999996)",Traffic & Parking
05/30/2019,08:39,BRAT-0056,METER EXP,"60 BRATTLE ST
Cambridge, MA
(42.37460798700005, -71.12236102599996)",Traffic & Parking
06/06/2019,14:06,CAMB-1065,METER EXP,"1075 CAMBRIDGE ST
Cambridge, MA
(42.373319982000055, -71.09501297199995)",Traffic & Parking
05/13/2019,10:54,MAIN-0616,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
05/02/2019,17:49,BRAT-0065,METER EXP,"69 BRATTLE ST
Cambridge, MA
(42.375232984000036, -71.12256797499998)",Traffic & Parking
05/08/2019,13:15,BWAY-0019,METER EXP,"1 BROADWAY
Cambridge, MA
(42.36275999900005, -71.08332599999994)",Traffic & Parking
05/24/2019,07:46,,RESIDENT P,"117 CHARLES ST
Cambridge, MA
(42.36792400600007, -71.08150000299997)",Traffic & Parking
05/02/2019,15:11,CAMB-0351,METER EXP,"389 CAMBRIDGE ST
Cambridge, MA
(42.37160299100003, -71.08254204099995)",Traffic & Parking
05/28/2019,09:32,BWAY-0015,O/T TIME,"1 BROADWAY
Cambridge, MA
(42.36275999900005, -71.08332599999994)",Traffic & Parking
05/01/2019,09:16,MASS-1675,METER EXP,"1675 MASS AVE
Cambridge, MA
(42.38227600300007, -71.11930598999999)",Traffic & Parking
05/03/2019,13:24,,RESIDENT P,"OPP 59 THORNDIKE ST
Cambridge, MA
(42.36986399700004, -71.08056097799994)",Traffic & Parking
05/18/2019,14:33,MAIN-0616,METER EXP,"600 MAIN ST
Cambridge, MA
(42.36258800300004, -71.09301397199994)",Traffic & Parking
06/11/2019,16:21,,RESIDENT P,"13 LEONARD AVE
Cambridge, MA
(42.375600991000056, -71.10543000099995)",Traffic & Parking
05/08/2019,13:53,,RESIDENT P,"OPP 6 BOND ST
Cambridge, MA
(42.38074999400004, -71.12683101099998)",Traffic & Parking
06/11/2019,13:04,HAMP-0042,O/T TIME,"50 HAMPSHIRE ST
Cambridge, MA
(42.366821995000066, -71.09276402299997)",Traffic & Parking
05/29/2019,08:50,MASS-0454,METER EXP,"450 MASS AVE
Cambridge, MA
(42.363353983000025, -71.10124399499995)",Traffic & Parking
05/15/2019,19:24,MASS-1130,METER EXP,"1160 MASS AVE
Cambridge, MA
(42.37124701100004, -71.11463198999996)",Traffic & Parking
05/30/2019,15:36,,RESIDENT P,"274 WINDSOR ST
Cambridge, MA
(42.368000994000056, -71.09484097499995)",Traffic & Parking
05/10/2019,15:34,BAD-0141,METER EXP,"145 BISHOP ALLEN DR
Cambridge, MA
(42.367061414000034, -71.10420380399995)",Traffic & Parking
06/10/2019,12:01,EDU-0018,O/T TIME,"*1 EDUCATION ST
Cambridge, MA
(42.369961018000026, -71.07064602499997)",Traffic & Parking
